"","st","year","mean.pres.approve","mean.pres.disapprove","presidential.party"
"636","PA",2007,0.272,0.679,0
"637","PA",2008,0.242222222222222,0.711111111111111,0
"638","PA",2009,0.582,0.332,1
"639","RI",1992,0.2025,0.7875,0
"640","RI",1993,0.346666666666667,0.55,1
"641","RI",1994,0.3925,0.575,1
"642","RI",1995,0.355,0.6275,1
"643","RI",1996,0.534,NA,1
"644","RI",1997,0.5,NA,1
"645","RI",1998,0.633333333333333,0.336666666666667,1
"646","RI",1999,0.635,NA,1
"647","RI",2000,0.666666666666667,NA,1
"648","RI",2002,0.75,0.19,0
"649","RI",2003,0.436666666666667,0.496666666666667,0
"650","RI",2004,0.335,0.645,0
"651","RI",2005,0.28875,0.6875,0
"652","RI",2006,0.242307692307692,0.735384615384615,0
"653","RI",2007,0.16,0.795,0
"654","RI",2008,0.123333333333333,0.86,0
"655","RI",2009,0.675,0.2,1
"656","SC",1964,0.378421052631579,0.497894736842105,1
"657","SC",1966,0.183333333333333,0.7,1
"658","SC",1994,0.333333333333333,0.656666666666667,1
"659","SC",1995,0.335,0.665,1
"660","SC",1996,0.37,0.63,1
"661","SC",1997,0.37,0.63,1
"662","SC",1998,0.42,0.58,1
"663","SC",2000,0.48,0.49,1
"664","SC",2005,0.451428571428571,0.515714285714286,0
"665","SC",2006,0.414545454545454,0.555454545454546,0
"666","SC",2007,0.525,0.415,0
"667","SC",2008,0.493333333333333,0.48,0
"668","SD",1994,0.385,0.585,1
"669","SD",1996,0.4,0.6,1
"670","SD",1997,0.33,0.67,1
"671","SD",2000,0.52,0.46,1
"672","SD",2002,0.7225,0.2625,0
"673","SD",2003,0.61,0.385,0
"674","SD",2005,0.455714285714286,0.514285714285714,0
"675","SD",2006,0.422727272727273,0.551818181818182,0
"676","SD",2009,0.545,0.37,1
"677","TN",1964,0.448947368421053,0.361052631578947,1
"678","TN",1991,0.83,0.16,0
"679","TN",1993,0.463333333333333,0.476666666666667,1
"680","TN",1994,0.38,0.55,1
"681","TN",1995,0.325,0.665,1
"682","TN",1996,0.446666666666667,0.553333333333333,1
"683","TN",2000,0.5,0.47,1
"684","TN",2002,0.683333333333333,0.276666666666667,0
"685","TN",2003,0.56,0.385,0
"686","TN",2004,0.528333333333333,NA,0
"687","TN",2005,0.43875,0.5225,0
"688","TN",2006,0.406666666666667,0.5625,0
"689","TN",2007,0.345,0.605,0
"690","TN",2008,0.35,0.61,0
"691","TN",2009,0.495,0.375,1
"692","TX",1986,0.66,0.32,0
"693","TX",1987,0.513333333333333,0.47,0
"694","TX",1988,0.525,0.455,0
"695","TX",1989,0.546666666666667,0.306666666666667,0
"696","TX",1990,0.72,0.25,0
"697","TX",1992,0.49,0.36,0
"698","TX",1993,0.342,0.587,1
"699","TX",1994,0.361666666666667,0.615,1
"700","TX",1995,0.363333333333333,0.631666666666667,1
"701","TX",1996,0.385,0.595,1
"702","TX",1998,0.583333333333333,NA,1
"703","TX",1999,0.64,NA,1
"704","TX",2000,0.45,0.52,1
"705","TX",2002,0.723333333333333,0.253333333333333,0
"706","TX",2003,0.648,0.328,0
"707","TX",2004,0.54,0.444,0
"708","TX",2005,0.495555555555556,0.464444444444444,0
"709","TX",2006,0.46,0.51,0
"710","TX",2007,0.425714285714286,0.55,0
"711","TX",2008,0.39,0.59,0
"712","TX",2009,0.526666666666667,0.43,1
"713","UT",1994,0.36,0.44,1
"714","UT",1996,0.32,0.68,1
"715","UT",1998,0.5,0.43,1
"716","UT",2000,0.4,0.58,1
"717","UT",2003,0.76,0.22,0
"718","UT",2004,0.7,0.29,0
"719","UT",2005,0.60875,0.3575,0
"720","UT",2006,0.570833333333333,0.3975,0
"721","UT",2007,0.61,0.37,0
"722","UT",2008,0.49,0.48,0
"723","UT",2009,0.456666666666667,0.463333333333333,1
"724","VA",1985,0.61,0.4,0
"725","VA",1986,0.53,0.47,0
"726","VA",1987,0.54,0.46,0
"727","VA",1988,0.48,0.43,0
"728","VA",1989,0.64,0.29,0
"729","VA",1991,0.77,0.22,0
"730","VA",1992,0.39,0.425,0
"731","VA",1993,0.365454545454545,0.527272727272727,1
"732","VA",1994,0.413333333333333,0.52,1
"733","VA",1995,0.4275,NA,1
"734","VA",1996,0.468,NA,1
"735","VA",1997,0.55,NA,1
"736","VA",1998,0.575,0.385,1
"737","VA",1999,0.65,0.32,1
"738","VA",2000,0.55,0.43,1
"739","VA",2002,0.68,0.29,0
"740","VA",2003,0.52,0.43,0
"741","VA",2005,0.441111111111111,0.525555555555556,0
"742","VA",2006,0.411875,0.565,0
"743","VA",2007,0.364615384615385,0.61,0
"744","VA",2008,0.326153846153846,0.615384615384615,0
"745","VA",2009,0.536470588235294,0.414117647058824,1
"746","WA",1987,0.45,0.54,0
"747","WA",1991,0.65,0.32,0
"748","WA",1993,0.32,0.63,1
"749","WA",1994,0.446,0.49,1
"750","WA",1995,0.48,NA,1
"751","WA",1996,0.485,0.515,1
"752","WA",1997,0.53,0.46,1
"753","WA",1998,0.57,0.43,1
"754","WA",2000,0.58,0.38,1
"755","WA",2002,0.53,0.47,0
"756","WA",2003,0.55,0.43,0
"757","WA",2004,0.46,0.398333333333333,0
"758","WA",2005,0.380909090909091,0.568181818181818,0
"759","WA",2006,0.342777777777778,0.620555555555556,0
"760","WA",2007,0.303846153846154,0.664615384615385,0
"761","WA",2008,0.275,0.686428571428571,0
"762","WA",2009,0.607272727272727,0.334545454545455,1
"763","WI",1964,0.55,0.305789473684211,1
"764","WI",1993,0.496,0.466,1
"765","WI",1994,0.417142857142857,0.55,1
"766","WI",1995,0.45,NA,1
"767","WI",1996,0.524,0.45,1
"768","WI",1997,0.51,NA,1
"769","WI",1998,0.61,0.36,1
"770","WI",1999,0.67,0.33,1
"771","WI",2000,0.56,0.42,1
"772","WI",2002,0.65,0.34,0
"773","WI",2003,0.48,0.492857142857143,0
"774","WI",2004,0.462222222222222,0.449444444444444,0
"775","WI",2005,0.373,0.579,0
"776","WI",2006,0.362941176470588,0.6,0
"777","WI",2007,0.311111111111111,0.653333333333333,0
"778","WI",2008,0.293888888888889,0.658888888888889,0
"779","WI",2009,0.574545454545455,0.378181818181818,1
"780","WV",1964,0.613157894736842,0.271578947368421,1
"781","WV",1986,0.63,0.28,0
"782","WV",1987,0.36,0.57,0
"783","WV",1994,0.41,0.59,1
"784","WV",1996,0.47,0.53,1
"785","WV",2000,0.55,0.41,1
"786","WV",2002,0.82,0.16,0
"787","WV",2003,0.48,0.503333333333333,0
"788","WV",2004,0.506666666666667,0.423333333333333,0
"789","WV",2005,0.4425,0.52125,0
"790","WV",2006,0.403636363636364,0.565454545454545,0
"791","WV",2007,0.317,0.652,0
"792","WY",1974,0.55,0.26,0
"793","WY",1976,0.57,0.29,0
"794","WY",1978,0.41,0.48,1
"795","WY",1980,0.25,0.66,1
"796","WY",1982,0.52,0.45,0
"797","WY",1984,0.59,0.39,0
"798","WY",1986,0.536666666666667,0.45,0
"799","WY",1988,0.52,0.47,0
"800","WY",1990,0.49,0.5,0
"801","WY",1992,0.29,0.7,0
"802","WY",1994,0.266666666666667,0.666666666666667,1
"803","WY",1996,0.34,0.655,1
"804","WY",1998,0.453333333333333,0.5,1
"805","WY",2000,0.39,0.59,1
"806","WY",2005,0.558571428571429,0.411428571428571,0
"807","WY",2006,0.52,0.454545454545455,0
"808","WY",2007,0.51,0.49,0
"809","WY",2008,0.47,0.53,0
