"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"9","Alabama","1,534,349","769,044","50.1","662,165","43.2","92,149","6.0",1996
"10","Alaska","241,620","122,746","50.8","80,380","33.3","26,333","10.9",1996
"11","Arizona","1,404,405","622,073","44.3","653,288","46.5","112,072","8.0",1996
"12","Arkansas","884,262","325,416","36.8","475,171","53.7","69,884","7.9",1996
"13","California","10,019,484","3,828,380","38.2","5,119,835","51.1","697,847","7.0",1996
"14","Colorado","1,510,704","691,848","45.8","671,152","44.4","99,629","6.6",1996
"15","Connecticut","1,392,614","483,109","34.7","735,740","52.8","139,523","10.0",1996
"16","Delaware","270,845","99,062","36.6","140,355","51.8","28,719","10.6",1996
"17","District of Columbia","185,726","17,339","9.3","158,220","85.2","3,611","1.9",1996
"18","Florida","5,303,794","2,244,536","42.3","2,546,870","48.0","483,870","9.1",1996
"19","Georgia","2,299,071","1,080,843","47.0","1,053,849","45.8","146,337","6.4",1996
"20","Hawaii","360,120","113,943","31.6","205,012","56.9","27,358","7.6",1996
"21","Idaho","491,719","256,595","52.2","165,443","33.6","62,518","12.7",1996
"22","Illinois","4,311,391","1,587,021","36.8","2,341,744","54.3","346,408","8.0",1996
"23","Indiana","2,135,431","1,006,693","47.1","887,424","41.6","224,299","10.5",1996
"24","Iowa","1,234,075","492,644","39.9","620,258","50.3","105,159","8.5",1996
"25","Kansas","1,074,300","583,245","54.3","387,659","36.1","92,639","8.6",1996
"26","Kentucky","1,388,708","623,283","44.9","636,614","45.8","120,396","8.7",1996
"27","Louisiana","1,783,959","712,586","39.9","927,837","52.0","123,293","6.9",1996
"28","Maine","605,897","186,378","30.8","312,788","51.6","85,970","14.2",1996
"29","Maryland","1,780,870","681,530","38.3","966,207","54.3","115,812","6.5",1996
"30","Massachusetts","2,556,786","718,107","28.1","1,571,763","61.5","227,217","8.9",1996
"31","Michigan","3,848,844","1,481,212","38.5","1,989,653","51.7","336,670","8.7",1996
"32","Minnesota","2,192,640","766,476","35.0","1,120,438","51.1","257,704","11.8",1996
"33","Mississippi","893,857","439,838","49.2","394,022","44.1","52,222","5.8",1996
"34","Missouri","2,158,065","890,016","41.2","1,025,935","47.5","217,188","10.1",1996
"35","Montana","407,261","179,652","44.1","167,922","41.3","55,229","13.6",1996
"36","Nebraska","677,415","363,467","53.7","236,761","35.0","71,278","10.5",1996
"37","Nevada","464,279","199,244","42.9","203,974","43.9","43,986","9.5",1996
"38","New Hampshire","499,175","196,532","39.4","246,214","49.3","48,390","9.7",1996
"39","New Jersey","3,075,807","1,103,078","35.9","1,652,329","53.7","262,134","8.5",1996
"40","New Mexico","556,074","232,751","41.9","273,495","49.2","32,257","5.8",1996
"41","New York","6,316,129","1,933,492","30.6","3,756,177","59.5","503,458","8.0",1996
"42","North Carolina","2,515,807","1,225,938","48.7","1,107,849","44.0","168,059","6.7",1996
"43","North Dakota","266,411","125,050","46.9","106,905","40.1","32,515","12.2",1996
"44","Ohio","4,534,434","1,859,883","41.0","2,148,222","47.4","483,207","10.7",1996
"45","Oklahoma","1,206,713","582,315","48.3","488,105","40.4","130,788","10.8",1996
"46","Oregon","1,377,760","538,152","39.1","649,641","47.2","121,221","8.8",1996
"47","Pennsylvania","4,506,118","1,801,169","40.0","2,215,819","49.2","430,984","9.6",1996
"48","Rhode Island","390,284","104,683","26.8","233,050","59.7","43,723","11.2",1996
"49","South Carolina","1,151,689","573,458","49.8","506,283","44.0","64,386","5.6",1996
"50","South Dakota","323,826","150,543","46.5","139,333","43.0","31,250","9.7",1996
"51","Tennessee","1,894,105","863,530","45.6","909,146","48.0","105,918","5.6",1996
"52","Texas","5,611,644","2,736,167","48.8","2,459,683","43.8","378,537","6.7",1996
"53","Utah","665,629","361,911","54.4","221,633","33.3","66,461","10.0",1996
"54","Vermont","258,449","80,352","31.1","137,894","53.4","31,024","12.0",1996
"55","Virginia","2,416,642","1,138,350","47.1","1,091,060","45.1","159,861","6.6",1996
"56","Washington","2,253,837","840,712","37.3","1,123,323","49.8","201,003","8.9",1996
"57","West Virginia","636,459","233,946","36.8","327,812","51.5","71,639","11.3",1996
"58","Wisconsin","2,196,169","845,029","38.5","1,071,971","48.8","227,339","10.4",1996
"59","Wyoming","211,571","105,388","49.8","77,934","36.8","25,928","12.3",1996
