"","state","year","total_popular_votes","Republican_Popular_Vote","Percent_Republican_Popular_Vote","Democrat_Popular_Votes","Percent_Democrat_Popular_Vote","Third_Party_Popular_Vote","Percent_Third_Party_Popular_Vote"
"1515","California",2012,"13,038,547","4,839,958","37.1","7,854,285","60.2",NA,NA
"1615","Colorado",2012,"2,569,520","1,185,243","46.1","1,323,101","51.5",NA,NA
"1715","Connecticut",2012,"1,558,960","634,892","40.7","905,083","58.1",NA,NA
"1815","Delaware",2012,"413,921","165,484","40.0","242,584","58.6",NA,NA
"1915","District of Columbia",2012,"293,764","21,381","7.3","267,070","90.9",NA,NA
"2015","Florida",2012,"8,474,179","4,163,447","49.1","4,237,756","50.0",NA,NA
"2115","Georgia",2012,"3,900,050","2,078,688","53.3","1,773,827","45.5",NA,NA
"2215","Hawaii",2012,"434,697","121,015","27.8","306,658","70.5",NA,NA
"2315","Idaho",2012,"652,274","420,911","64.5","212,787","32.6",NA,NA
"2415","Illinois",2012,"5,242,014","2,135,216","40.7","3,019,512","57.6",NA,NA
"2515","Indiana",2012,"2,624,534","1,420,543","54.1","1,152,887","43.9",NA,NA
"2615","Iowa",2012,"1,582,180","730,617","46.2","822,544","52.0",NA,NA
"2715","Kansas",2012,"1,159,971","692,634","59.7","440,726","38.0",NA,NA
"2815","Kentucky",2012,"1,797,212","1,087,190","60.5","679,370","37.8",NA,NA
"2914","Louisiana",2012,"1,994,065","1,152,262","57.8","809,141","40.6",NA,NA
"3014","Maine",2012,"713,180","292,276","41.0","401,306","56.3",NA,NA
"3115","Maryland",2012,"2,707,327","971,869","35.9","1,677,844","62.0",NA,NA
"3215","Massachusetts",2012,"3,167,767","1,188,314","37.5","1,921,290","60.7",NA,NA
"3315","Michigan",2012,"4,730,961","2,115,256","44.7","2,564,569","54.2",NA,NA
"3415","Minnesota",2012,"2,936,561","1,320,225","45.0","1,546,167","52.7",NA,NA
"3515","Mississippi",2012,"1,285,584","710,746","55.3","562,949","43.8",NA,NA
"3615","Missouri",2012,"2,757,323","1,482,440","53.8","1,223,796","44.4",NA,NA
"3715","Montana",2012,"484,048","267,928","55.4","201,839","41.7",NA,NA
"3815","Nebraska",2012,"794,379","475,064","59.8","302,081","38.0",NA,NA
"3914","Nevada",2012,"1,014,918","463,567","45.7","531,373","52.4",NA,NA
"4014","New Hampshire",2012,"710,972","329,918","46.5","369,561","52.0",NA,NA
"4114","New Jersey",2012,"3,638,499","1,478,088","40.6","2,122,786","58.3",NA,NA
"4215","New Mexico",2012,"783,758","335,788","42.8","415,335","53.0",NA,NA
"4315","New York",2012,"7,061,925","2,485,432","35.2","4,471,871","63.4",NA,NA
"4415","North Carolina",2012,"4,505,372","2,270,395","50.4","2,178,391","48.4",NA,NA
"4515","North Dakota",2012,"322,932","188,320","58.3","124,966","38.7",NA,NA
"4615","Ohio",2012,"5,580,822","2,661,407","47.7","2,827,621","50.7",NA,NA
"4715","Oklahoma",2012,"1,334,872","891,325","66.8","443,547","33.2",NA,NA
"4815","Oregon",2012,"1,789,270","754,175","42.1","970,488","54.2",NA,NA
"4915","Pennsylvania",2012,"5,753,670","2,680,434","46.7","2,990,274","52.1",NA,NA
"5015","Rhode Island",2012,"446,049","157,204","35.2","279,677","62.7",NA,NA
"5115","South Carolina",2012,"1,964,118","1,071,645","54.6","865,941","44.1",NA,NA
"5215","South Dakota",2012,"363,815","210,610","57.9","145,039","39.9",NA,NA
"5315","Tennessee",2012,"2,458,577","1,462,330","59.5","960,709","39.1",NA,NA
"5415","Texas",2012,"7,993,851","4,569,843","57.2","3,308,124","41.4",NA,NA
"5515","Utah",2012,"1,017,440","740,600","72.8","251,813","24.7",NA,NA
"5615","Vermont",2012,"299,290","92,698","31.0","199,239","66.6",NA,NA
"5715","Virginia",2012,"3,854,490","1,822,522","47.3","1,971,820","51.2",NA,NA
"5815","Washington",2012,"3,125,516","1,290,670","41.3","1,755,396","56.2",NA,NA
"5912","West Virginia",2012,"670,438","417,655","62.3","238,269","35.5",NA,NA
"606","Wisconsin",2012,"3,071,434","1,410,966","46.0","1,620,985","52.9",NA,NA
"611","Wyoming",2012,"249,061","170,962","68.6","69,286","27.8",NA,NA
"1316","Alabama",2016,"2,123,372","1,318,255","62.1","729,547","34.4","44,467","2.1"
"1416","Alaska",2016,"318,608","163,387","51.3","116,454","36.6","18,725","5.9"
"1516","Arizona",2016,"2,573,165","1,252,401","48.7","1,161,167","45.1","106,327","4.1"
"1616","Arkansas",2016,"1,130,635","684,872","60.6","380,494","33.7","29,829","2.6"
"1716","California",2016,"14,181,595","4,483,810","31.6","8,753,788","61.7","478,500","3.4"
"1816","Colorado",2016,"2,780,220","1,202,484","43.3","1,338,870","48.2","144,121","5.2"
"1916","Connecticut",2016,"1,644,920","673,215","40.9","897,572","54.6","48,676","3.0"
"2016","Delaware",2016,"441,590","185,127","41.9","235,603","53.4","14,757","3.3"
"2116","District of Columbia",2016,"311,268","12,723","4.1","282,830","90.9","4,906","1.6"
"2216","Florida",2016,"9,420,039","4,617,886","49.0","4,504,975","47.8","207,043","2.2"
"2316","Georgia",2016,"4,092,373","2,089,104","51.0","1,877,963","45.9","125,306","3.1"
"2416","Hawaii",2016,"428,937","128,847","30.0","266,891","62.2","15,954","3.7"
"2516","Idaho",2016,"690,255","409,055","59.3","189,765","27.5","28,331","4.1"
"2616","Illinois",2016,"5,536,424","2,146,015","38.8","3,090,729","55.8","209,596","3.8"
"2716","Indiana",2016,"2,734,958","1,557,286","56.9","1,033,126","37.8","133,993","4.9"
"2816","Iowa",2016,"1,566,031","800,983","51.1","653,669","41.7","59,186","3.8"
"2915","Kansas",2016,"1,184,402","671,018","56.7","427,005","36.1","55,406","4.7"
"3015","Kentucky",2016,"1,924,149","1,202,971","62.5","628,854","32.7","53,752","2.8"
"3116","Louisiana",2016,"2,029,032","1,178,638","58.1","780,154","38.4","37,978","1.9"
"3216","Maine",2016,"747,927","335,593","44.9","357,735","47.8","38,105","5.1"
"3316","Maryland",2016,"2,781,446","943,169","33.9","1,677,928","60.3","79,605","2.9"
"3416","Massachusetts",2016,"3,325,046","1,090,893","32.8","1,995,196","60.0","138,018","4.2"
"3516","Michigan",2016,"4,799,284","2,279,543","47.5","2,268,839","47.3","172,136","3.6"
"3616","Minnesota",2016,"2,944,813","1,322,951","44.9","1,367,716","46.4","112,972","3.8"
"3716","Mississippi",2016,"1,209,357","700,714","57.9","485,131","40.1","14,435","1.2"
"3816","Missouri",2016,"2,808,605","1,594,511","56.8","1,071,068","38.1","97,359","3.5"
"3915","Montana",2016,"494,526","279,240","56.5","177,709","35.9","28,037","5.7"
"4015","Nebraska",2016,"844,227","495,961","58.7","284,494","33.7","38,946","4.6"
"4416","Nevada",2016,"1,125,385","512,058","45.5","539,260","47.9","37,384","3.3"
"4516","New Hampshire",2016,"744,296","345,790","46.5","348,526","46.8","30,777","4.1"
"4616","New Jersey",2016,"3,874,046","1,601,933","41.4","2,148,278","55.5","72,477","1.9"
"4716","New Mexico",2016,"798,318","319,666","40.0","385,234","48.3","74,541","9.3"
"4816","New York",2016,"7,721,453","2,819,534","36.5","4,556,124","59.0","176,598","2.3"
"4916","North Carolina",2016,"4,741,564","2,362,631","49.8","2,189,316","46.2","130,126","2.7"
"5016","North Dakota",2016,"344,360","216,794","63.0","93,758","27.2","21,434","6.2"
"5116","Ohio",2016,"5,496,487","2,841,005","51.7","2,394,164","43.6","174,498","3.2"
"5216","Oklahoma",2016,"1,452,992","949,136","65.3","420,375","28.9","83,481","5.7"
"5316","Oregon",2016,"2,001,336","782,403","39.1","1,002,106","50.1","94,231","4.7"
"5416","Pennsylvania",2016,"6,115,402","2,970,733","48.6","2,926,441","47.9","146,715","2.4"
"5516","Rhode Island",2016,"464,144","180,543","38.9","252,525","54.4","14,746","3.2"
"5616","South Carolina",2016,"2,103,027","1,155,389","54.9","855,373","40.7","49,204","2.3"
"5716","South Dakota",2016,"370,093","227,721","61.5","117,458","31.7","20,850","5.6"
"5816","Tennessee",2016,"2,508,027","1,522,925","60.7","870,695","34.7","70,397","2.8"
"5913","Texas",2016,"8,969,226","4,685,047","52.2","3,877,868","43.2","283,492","3.2"
"607","Utah",2016,"1,131,430","515,231","45.5","310,676","27.5","39,608","3.5"
"612","Vermont",2016,"315,067","95,369","30.3","178,573","56.7","10,078","3.2"
"621","Virginia",2016,"3,982,752","1,769,443","44.4","1,981,473","49.8","118,274","3.0"
"631","Washington",2016,"3,209,214","1,221,747","38.1","1,742,718","54.3","160,879","5.0"
"641","West Virginia",2016,"713,051","489,371","68.6","188,794","26.5","23,004","3.2"
"65","Wisconsin",2016,"2,976,150","1,405,284","47.2","1,382,536","46.5","106,674","3.6"
"66","Wyoming",2016,"255,849","174,419","68.2","55,973","21.9","13,287","5.2"
