"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"10","Alabama","1,441,713","872,849","60.5","551,899","38.3",NA,NA,1984
"11","Alaska","207,605","138,377","66.7","62,007","29.9",NA,NA,1984
"12","Arizona","1,025,897","681,416","66.4","333,854","32.5",NA,NA,1984
"13","Arkansas","884,406","534,774","60.5","338,646","38.3",NA,NA,1984
"14","California","9,505,423","5,467,009","57.5","3,922,519","41.3",NA,NA,1984
"15","Colorado","1,295,380","821,817","63.4","454,975","35.1",NA,NA,1984
"16","Connecticut","1,466,900","890,877","60.7","569,597","38.8",NA,NA,1984
"17","Delaware","254,572","152,190","59.8","101,656","39.9",NA,NA,1984
"18","District of Columbia","211,288","29,009","13.7","180,408","85.4",NA,NA,1984
"19","Florida","4,180,051","2,730,350","65.3","1,448,816","34.7",NA,NA,1984
"20","Georgia","1,776,120","1,068,722","60.2","706,628","39.8",NA,NA,1984
"21","Hawaii","335,846","185,050","55.1","147,154","43.8",NA,NA,1984
"22","Idaho","411,144","297,523","72.4","108,510","26.4",NA,NA,1984
"23","Illinois","4,819,088","2,707,103","56.2","2,086,499","43.3",NA,NA,1984
"24","Indiana","2,233,069","1,377,230","61.7","841,481","37.7",NA,NA,1984
"25","Iowa","1,319,805","703,088","53.3","605,620","45.9",NA,NA,1984
"26","Kansas","1,021,991","677,296","66.3","333,149","32.6",NA,NA,1984
"27","Kentucky","1,369,345","821,702","60.0","539,539","39.4",NA,NA,1984
"28","Louisiana","1,706,822","1,037,299","60.8","651,586","38.2",NA,NA,1984
"29","Maine","553,144","336,500","60.8","214,515","38.8",NA,NA,1984
"30","Maryland","1,675,873","879,918","52.5","787,935","47.0",NA,NA,1984
"31","Massachusetts","2,559,453","1,310,936","51.2","1,239,606","48.4",NA,NA,1984
"32","Michigan","3,801,658","2,251,571","59.2","1,529,638","40.2",NA,NA,1984
"33","Minnesota","2,084,449","1,032,603","49.5","1,036,364","49.7",NA,NA,1984
"34","Mississippi","941,104","582,377","61.9","352,192","37.4",NA,NA,1984
"35","Missouri","2,122,783","1,274,188","60.0","848,583","40.0",NA,NA,1984
"36","Montana","384,377","232,450","60.5","146,742","38.2",NA,NA,1984
"37","Nebraska","652,090","460,054","70.6","187,866","28.8",NA,NA,1984
"38","Nevada","286,667","188,770","65.8","91,655","32.0",NA,NA,1984
"39","New Hampshire","389,066","267,051","68.6","120,395","30.9",NA,NA,1984
"40","New Jersey","3,217,862","1,933,630","60.1","1,261,323","39.2",NA,NA,1984
"41","New Mexico","514,370","307,101","59.7","201,769","39.2",NA,NA,1984
"42","New York","6,806,810","3,664,763","53.8","3,119,609","45.8",NA,NA,1984
"43","North Carolina","2,175,361","1,346,481","61.9","824,287","37.9",NA,NA,1984
"44","North Dakota","308,971","200,336","64.8","104,429","33.8",NA,NA,1984
"45","Ohio","4,547,619","2,678,560","58.9","1,825,440","40.1",NA,NA,1984
"46","Oklahoma","1,255,676","861,530","68.6","385,080","30.7",NA,NA,1984
"47","Oregon","1,226,527","685,700","55.9","536,479","43.7",NA,NA,1984
"48","Pennsylvania","4,844,903","2,584,323","53.3","2,228,131","46.0",NA,NA,1984
"49","Rhode Island","410,492","212,080","51.7","197,106","48.0",NA,NA,1984
"50","South Carolina","968,529","615,539","63.6","344,459","35.6",NA,NA,1984
"51","South Dakota","317,867","200,267","63.0","116,113","36.5",NA,NA,1984
"52","Tennessee","1,711,994","990,212","57.8","711,714","41.6",NA,NA,1984
"53","Texas","5,397,571","3,433,428","63.6","1,949,276","36.1",NA,NA,1984
"54","Utah","629,656","469,105","74.5","155,369","24.7",NA,NA,1984
"55","Vermont","234,561","135,865","57.9","95,730","40.8",NA,NA,1984
"56","Virginia","2,146,635","1,337,078","62.3","796,250","37.1",NA,NA,1984
"57","Washington","1,883,910","1,051,670","55.8","807,352","42.9",NA,NA,1984
"58","West Virginia","735,742","405,483","55.1","328,125","44.6",NA,NA,1984
"59","Wisconsin","2,211,689","1,198,584","54.2","995,740","45.0",NA,NA,1984
"60","Wyoming","188,968","133,241","70.5","53,370","28.2",NA,NA,1984
