"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"9","Alabama","570,225","237,981","41.7","324,050","56.8",NA,NA,1960
"10","Alaska","60,762","30,953","50.9","29,809","49.1",NA,NA,1960
"11","Arizona","398,491","221,241","55.5","176,781","44.4",NA,NA,1960
"12","Arkansas","428,509","184,508","43.1","215,049","50.2",NA,NA,1960
"13","California","6,506,578","3,259,722","50.1","3,224,099","49.6",NA,NA,1960
"14","Colorado","736,236","402,242","54.6","330,629","44.9",NA,NA,1960
"15","Connecticut","1,222,883","565,813","46.3","657,055","53.7",NA,NA,1960
"16","Delaware","196,683","96,373","49.0","99,590","50.6",NA,NA,1960
"17","Florida","1,544,176","795,476","51.5","748,700","48.5",NA,NA,1960
"18","Georgia","733,349","274,472","37.4","458,638","62.5",NA,NA,1960
"19","Hawaii","184,705","92,295","50.0","92,410","50.0",NA,NA,1960
"20","Idaho","300,450","161,597","53.8","138,853","46.2",NA,NA,1960
"21","Illinois","4,757,409","2,368,988","49.8","2,377,846","50.0",NA,NA,1960
"22","Indiana","2,135,360","1,175,120","55.0","952,358","44.6",NA,NA,1960
"23","Iowa","1,273,810","722,381","56.7","550,565","43.2",NA,NA,1960
"24","Kansas","928,825","561,474","60.4","363,213","39.1",NA,NA,1960
"25","Kentucky","1,124,462","602,607","53.6","521,855","46.4",NA,NA,1960
"26","Louisiana","807,891","230,980","28.6","407,339","50.4",NA,NA,1960
"27","Maine","421,767","240,608","57.0","181,159","43.0",NA,NA,1960
"28","Maryland","1,055,349","489,538","46.4","565,808","53.6",NA,NA,1960
"29","Massachusetts","2,469,480","976,750","39.6","1,487,174","60.2",NA,NA,1960
"30","Michigan","3,318,097","1,620,428","48.8","1,687,269","50.9",NA,NA,1960
"31","Minnesota","1,541,887","757,915","49.2","779,933","50.6",NA,NA,1960
"32","Mississippi","298,171","73,561","24.7","108,362","36.3",NA,NA,1960
"33","Missouri","1,934,422","962,221","49.7","972,201","50.3",NA,NA,1960
"34","Montana","277,579","141,841","51.1","134,891","48.6",NA,NA,1960
"35","Nebraska","613,095","380,553","62.1","232,542","37.9",NA,NA,1960
"36","Nevada","107,267","52,387","48.8","54,880","51.2",NA,NA,1960
"37","New Hampshire","295,761","157,989","53.4","137,772","46.6",NA,NA,1960
"38","New Jersey","2,773,111","1,363,324","49.2","1,385,415","50.0",NA,NA,1960
"39","New Mexico","311,107","153,733","49.4","156,027","50.2",NA,NA,1960
"40","New York","7,291,079","3,446,419","47.3","3,830,085","52.5",NA,NA,1960
"41","North Carolina","1,368,556","655,420","47.9","713,136","52.1",NA,NA,1960
"42","North Dakota","278,431","154,310","55.4","123,963","44.5",NA,NA,1960
"43","Ohio","4,161,859","2,217,611","53.3","1,944,248","46.7",NA,NA,1960
"44","Oklahoma","903,150","533,039","59.0","370,111","41.0",NA,NA,1960
"45","Oregon","776,421","408,060","52.6","367,402","47.3",NA,NA,1960
"46","Pennsylvania","5,006,541","2,439,956","48.7","2,556,282","51.1",NA,NA,1960
"47","Rhode Island","405,535","147,502","36.4","258,032","63.6",NA,NA,1960
"48","South Carolina","386,688","188,558","48.8","198,129","51.2",NA,NA,1960
"49","South Dakota","306,487","178,417","58.2","128,070","41.8",NA,NA,1960
"50","Tennessee","1,051,792","556,577","52.9","481,453","45.8",NA,NA,1960
"51","Texas","2,311,084","1,121,310","48.5","1,167,567","50.5",NA,NA,1960
"52","Utah","374,709","205,361","54.8","169,248","45.2",NA,NA,1960
"53","Vermont","167,324","98,131","58.6","69,186","41.3",NA,NA,1960
"54","Virginia","771,449","404,521","52.4","362,327","47.0",NA,NA,1960
"55","Washington","1,241,572","629,273","50.7","599,298","48.3",NA,NA,1960
"56","West Virginia","837,781","395,995","47.3","441,786","52.7",NA,NA,1960
"57","Wisconsin","1,729,082","895,175","51.8","830,805","48.0",NA,NA,1960
"58","Wyoming","140,782","77,451","55.0","63,331","45.0",NA,NA,1960
