"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"9","Alabama","2,099,819","1,266,546","60.3%","813,479","38.7%",NA,NA,2008
"10","Alaska","326,197","193,841","59.4%","123,594","37.9%",NA,NA,2008
"11","Arizona","2,293,475","1,230,111","53.6%","1,034,707","45.1%",NA,NA,2008
"12","Arkansas","1,086,617","638,017","58.7%","422,310","38.9%",NA,NA,2008
"13","California","13,561,900","5,011,781","37.0%","8,274,473","61.0%",NA,NA,2008
"14","Colorado","2,401,361","1,073,589","44.7%","1,288,576","53.7%",NA,NA,2008
"15","Connecticut","1,646,792","629,428","38.2%","997,772","60.6%",NA,NA,2008
"16","Delaware","412,412","152,374","36.9%","255,459","61.9%",NA,NA,2008
"17","District of Columbia","265,853","17,367","6.5%","245,800","92.5%",NA,NA,2008
"18","Florida","8,390,744","4,045,624","48.2%","4,282,074","51.0%",NA,NA,2008
"19","Georgia","3,924,440","2,048,744","52.2%","1,844,137","47.0%",NA,NA,2008
"20","Hawaii","453,568","120,566","26.6%","325,871","71.8%",NA,NA,2008
"21","Idaho","655,032","403,012","61.5%","236,440","36.1%",NA,NA,2008
"22","Illinois","5,523,051","2,031,527","36.8%","3,419,673","61.9%",NA,NA,2008
"23","Indiana","2,751,054","1,345,648","48.9%","1,374,039","49.9%",NA,NA,2008
"24","Iowa","1,543,662","682,379","44.2%","828,940","53.7%",NA,NA,2008
"25","Kansas","1,235,872","699,655","56.6%","514,765","41.7%",NA,NA,2008
"26","Kentucky","1,826,508","1,048,462","57.4%","751,985","41.2%",NA,NA,2008
"27","Louisiana","1,960,761","1,148,275","58.6%","782,989","39.9%",NA,NA,2008
"28","Maine","731,163","295,273","40.4%","421,923","57.7%",NA,NA,2008
"31","Maryland","2,631,596","959,862","36.5%","1,629,467","61.9%",NA,NA,2008
"32","Massachusetts","3,080,985","1,108,854","36.0%","1,904,097","61.8%",NA,NA,2008
"33","Michigan","5,001,766","2,048,639","41.0%","2,872,579","57.4%",NA,NA,2008
"34","Minnesota","2,910,369","1,275,409","43.8%","1,573,354","54.1%",NA,NA,2008
"35","Mississippi","1,289,865","724,597","56.2%","554,662","43.0%",NA,NA,2008
"36","Missouri","2,925,205","1,445,814","49.4%","1,441,911","49.3%",NA,NA,2008
"37","Montana","490,109","242,763","49.5%","231,667","47.3%",NA,NA,2008
"38","Nebraska","801,281","452,979","56.5%","333,319","41.6%",NA,NA,2008
"42","Nevada","967,848","412,827","42.7%","533,736","55.1%",NA,NA,2008
"43","New Hampshire","707,611","316,534","44.7%","384,826","54.4%",NA,NA,2008
"44","New Jersey","3,868,237","1,613,207","41.7%","2,215,422","57.3%",NA,NA,2008
"45","New Mexico","830,158","346,832","41.8%","472,422","56.9%",NA,NA,2008
"46","New York","7,591,233","2,742,298","36.1%","4,769,700","62.8%",NA,NA,2008
"47","North Carolina","4,310,789","2,128,474","49.4%","2,142,651","49.7%",NA,NA,2008
"48","North Dakota","316,621","168,601","53.3%","141,278","44.6%",NA,NA,2008
"49","Ohio","5,698,260","2,674,491","46.9%","2,933,388","51.5%",NA,NA,2008
"50","Oklahoma","1,462,661","960,165","65.6%","502,496","34.4%",NA,NA,2008
"51","Oregon","1,827,864","738,475","40.4%","1,037,291","56.7%",NA,NA,2008
"52","Pennsylvania","6,034,745","2,655,885","44.0%","3,276,363","54.3%",NA,NA,2008
"53","Rhode Island","469,767","165,391","35.2%","296,571","63.1%",NA,NA,2008
"54","South Carolina","1,920,969","1,034,896","53.9%","862,449","44.9%",NA,NA,2008
"55","South Dakota","381,975","203,054","53.2%","170,924","44.7%",NA,NA,2008
"56","Tennessee","2,599,749","1,479,178","56.9%","1,087,437","41.8%",NA,NA,2008
"57","Texas","8,077,795","4,479,328","55.5%","3,528,633","43.7%",NA,NA,2008
"58","Utah","952,370","596,030","62.6%","327,670","34.4%",NA,NA,2008
"59","Vermont","325,046","98,974","30.4%","219,262","67.5%",NA,NA,2008
"60","Virginia","3,723,260","1,725,005","46.3%","1,959,532","52.6%",NA,NA,2008
"61","Washington","3,036,878","1,229,216","40.5%","1,750,848","57.7%",NA,NA,2008
"62","West Virginia","713,362","397,466","55.7%","303,857","42.6%",NA,NA,2008
"63","Wisconsin","2,983,417","1,262,393","42.3%","1,677,211","56.2%",NA,NA,2008
"64","Wyoming","256,035","164,958","64.4%","82,868","32.4%",NA,NA,2008
