"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"10","Alabama","1,182,850","504,070","42.6","659,170","55.7",NA,NA,1976
"11","Alaska","123,574","71,555","57.9","44,058","35.7",NA,NA,1976
"12","Arizona","742,719","418,642","56.4","295,602","39.8",NA,NA,1976
"13","Arkansas","767,535","267,903","34.9","498,604","65.0",NA,NA,1976
"14","California","7,867,117","3,882,244","49.3","3,742,284","47.6",NA,NA,1976
"15","Colorado","1,081,554","584,367","54.0","460,353","42.6",NA,NA,1976
"16","Connecticut","1,381,526","719,261","52.1","647,895","46.9",NA,NA,1976
"17","Delaware","235,834","109,831","46.6","122,596","52.0",NA,NA,1976
"18","District of Columbia","168,830","27,873","16.5","137,818","81.6",NA,NA,1976
"19","Florida","3,150,631","1,469,531","46.6","1,636,000","51.9",NA,NA,1976
"20","Georgia","1,467,458","483,743","33.0","979,409","66.7",NA,NA,1976
"21","Hawaii","291,301","140,003","48.1","147,375","50.6",NA,NA,1976
"22","Idaho","344,071","204,151","59.3","126,549","36.8",NA,NA,1976
"23","Illinois","4,718,914","2,364,269","50.1","2,271,295","48.1",NA,NA,1976
"24","Indiana","2,220,362","1,183,958","53.3","1,014,714","45.7",NA,NA,1976
"25","Iowa","1,279,306","632,863","49.5","619,931","48.5",NA,NA,1976
"26","Kansas","957,845","502,752","52.5","430,421","44.9",NA,NA,1976
"27","Kentucky","1,167,142","531,852","45.6","615,717","52.8",NA,NA,1976
"28","Louisiana","1,278,439","587,446","46.0","661,365","51.7",NA,NA,1976
"29","Maine","483,216","236,320","48.9","232,279","48.1",NA,NA,1976
"30","Maryland","1,439,897","672,661","46.7","759,612","52.8",NA,NA,1976
"31","Massachusetts","2,547,558","1,030,276","40.4","1,429,475","56.1",NA,NA,1976
"32","Michigan","3,653,749","1,893,742","51.8","1,696,714","46.4",NA,NA,1976
"33","Minnesota","1,949,931","819,395","42.0","1,070,440","54.9",NA,NA,1976
"34","Mississippi","769,361","366,846","47.7","381,309","49.6",NA,NA,1976
"35","Missouri","1,953,600","927,443","47.5","998,387","51.1",NA,NA,1976
"36","Montana","328,734","173,703","52.8","149,259","45.4",NA,NA,1976
"37","Nebraska","607,668","359,705","59.2","233,692","38.5",NA,NA,1976
"38","Nevada","201,876","101,273","50.2","92,479","45.8",NA,NA,1976
"39","New Hampshire","339,618","185,935","54.7","147,635","43.5",NA,NA,1976
"40","New Jersey","3,014,472","1,509,688","50.1","1,444,653","47.9",NA,NA,1976
"41","New Mexico","418,409","211,419","50.5","201,148","48.1",NA,NA,1976
"42","New York","6,534,170","3,100,791","47.5","3,389,558","51.9",NA,NA,1976
"43","North Carolina","1,678,914","741,960","44.2","927,365","55.2",NA,NA,1976
"44","North Dakota","297,188","153,470","51.6","136,078","45.8",NA,NA,1976
"45","Ohio","4,111,873","2,000,505","48.7","2,011,621","48.9",NA,NA,1976
"46","Oklahoma","1,092,251","545,708","50.0","532,442","48.7",NA,NA,1976
"47","Oregon","1,029,876","492,120","47.8","490,407","47.6",NA,NA,1976
"48","Pennsylvania","4,620,787","2,205,604","47.7","2,328,677","50.4",NA,NA,1976
"49","Rhode Island","411,170","181,249","44.1","227,636","55.4",NA,NA,1976
"50","South Carolina","802,583","346,149","43.1","450,807","56.2",NA,NA,1976
"51","South Dakota","300,678","151,505","50.4","147,068","48.9",NA,NA,1976
"52","Tennessee","1,476,345","633,969","42.9","825,879","55.9",NA,NA,1976
"53","Texas","4,071,884","1,953,300","48.0","2,082,319","51.1",NA,NA,1976
"54","Utah","541,198","337,908","62.4","182,110","33.6",NA,NA,1976
"55","Vermont","187,765","102,085","54.4","80,954","43.1",NA,NA,1976
"56","Virginia","1,697,094","836,554","49.3","813,896","48.0",NA,NA,1976
"57","Washington","1,555,534","777,732","50.0","717,323","46.1",NA,NA,1976
"58","West Virginia","750,964","314,760","41.9","435,914","58.0",NA,NA,1976
"59","Wisconsin","2,104,175","1,004,987","47.8","1,040,232","49.4",NA,NA,1976
"60","Wyoming","156,343","92,717","59.3","62,239","39.8",NA,NA,1976
