"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"9","Alabama","1,688,060","804,283","47.6","690,080","40.9","183,109","10.8",1992
"10","Alaska","258,506","102,000","39.5","78,294","30.3","73,481","28.4",1992
"11","Arizona","1,486,975","572,086","38.5","543,050","36.5","353,741","23.8",1992
"12","Arkansas","950,653","337,324","35.5","505,823","53.2","99,132","10.4",1992
"13","California","11,131,721","3,630,574","32.6","5,121,325","46.0","2,296,006","20.6",1992
"14","Colorado","1,569,180","562,850","35.9","629,681","40.1","366,010","23.3",1992
"15","Connecticut","1,616,332","578,313","35.8","682,318","42.2","348,771","21.6",1992
"16","Delaware","289,735","102,313","35.3","126,054","43.5","59,213","20.4",1992
"17","District of Columbia","227,572","20,698","9.1","192,619","84.6","9,681","4.3",1992
"18","Florida","5,314,392","2,173,310","40.9","2,072,698","39.0","1,053,067","19.8",1992
"19","Georgia","2,321,125","995,252","42.9","1,008,966","43.5","309,657","13.3",1992
"20","Hawaii","372,842","136,822","36.7","179,310","48.1","53,003","14.2",1992
"21","Idaho","482,142","202,645","42.0","137,013","28.4","130,395","27.0",1992
"22","Illinois","5,050,157","1,734,096","34.3","2,453,350","48.6","840,515","16.6",1992
"23","Indiana","2,305,871","989,375","42.9","848,420","36.8","455,934","19.8",1992
"24","Iowa","1,354,607","504,891","37.3","586,353","43.3","253,468","18.7",1992
"25","Kansas","1,157,335","449,951","38.9","390,434","33.7","312,358","27.0",1992
"26","Kentucky","1,492,900","617,178","41.3","665,104","44.6","203,944","13.7",1992
"27","Louisiana","1,790,017","733,386","41.0","815,971","45.6","211,478","11.8",1992
"28","Maine","679,499","206,504","30.4","263,420","38.8","206,820","30.4",1992
"29","Maryland","1,985,046","707,094","35.6","988,571","49.8","281,414","14.2",1992
"30","Massachusetts","2,773,700","805,049","29.0","1,318,662","47.5","630,731","22.7",1992
"31","Michigan","4,274,673","1,554,940","36.4","1,871,182","43.8","824,813","19.3",1992
"32","Minnesota","2,347,948","747,841","31.9","1,020,997","43.5","562,506","24.0",1992
"33","Mississippi","981,793","487,793","49.7","400,258","40.8","85,626","8.7",1992
"34","Missouri","2,391,565","811,159","33.9","1,053,873","44.1","518,741","21.7",1992
"35","Montana","410,611","144,207","35.1","154,507","37.6","107,225","26.1",1992
"36","Nebraska","737,546","343,678","46.6","216,864","29.4","174,104","23.6",1992
"37","Nevada","506,318","175,828","34.7","189,148","37.4","132,580","26.2",1992
"38","New Hampshire","537,943","202,484","37.6","209,040","38.9","121,337","22.6",1992
"39","New Jersey","3,343,594","1,356,865","40.6","1,436,206","43.0","521,829","15.6",1992
"40","New Mexico","569,986","212,824","37.3","261,617","45.9","91,895","16.1",1992
"41","New York","6,926,925","2,346,649","33.9","3,444,450","49.7","1,090,721","15.7",1992
"42","North Carolina","2,611,850","1,134,661","43.4","1,114,042","42.7","357,864","13.7",1992
"43","North Dakota","308,133","136,244","44.2","99,168","32.2","71,084","23.1",1992
"44","Ohio","4,939,967","1,894,310","38.3","1,984,942","40.2","1,036,426","21.0",1992
"45","Oklahoma","1,390,359","592,929","42.6","473,066","34.0","319,878","23.0",1992
"46","Oregon","1,462,643","475,757","32.5","621,314","42.5","354,091","24.2",1992
"47","Pennsylvania","4,959,810","1,791,841","36.1","2,239,164","45.1","902,667","18.2",1992
"48","Rhode Island","453,477","131,601","29.0","213,299","47.0","105,045","23.2",1992
"49","South Carolina","1,202,527","577,507","48.0","479,514","39.9","138,872","11.5",1992
"50","South Dakota","336,254","136,718","40.7","124,888","37.1","73,295","21.8",1992
"51","Tennessee","1,982,638","841,300","42.4","933,521","47.1","199,968","10.1",1992
"52","Texas","6,154,018","2,496,071","40.6","2,281,815","37.1","1,354,781","22.0",1992
"53","Utah","743,999","322,632","43.4","183,429","24.7","203,400","27.3",1992
"54","Vermont","289,701","88,122","30.4","133,592","46.1","65,991","22.8",1992
"55","Virginia","2,558,665","1,150,517","45.0","1,038,650","40.6","348,639","13.6",1992
"56","Washington","2,288,230","731,234","32.0","993,037","43.4","541,780","23.7",1992
"57","West Virginia","683,762","241,974","35.4","331,001","48.4","108,829","15.9",1992
"58","Wisconsin","2,531,114","930,855","36.8","1,041,066","41.1","544,479","21.5",1992
"59","Wyoming","200,598","79,347","39.6","68,160","34.0","51,263","25.6",1992
