"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"10","Alabama","689,818","479,085","69.5","--","0.0",NA,NA,1964
"11","Alaska","67,259","22,930","34.1","44,329","65.9",NA,NA,1964
"12","Arizona","480,770","242,535","50.4","237,753","49.5",NA,NA,1964
"13","Arkansas","560,426","243,264","43.4","314,197","56.1",NA,NA,1964
"14","California","7,057,586","2,879,108","40.8","4,171,877","59.1",NA,NA,1964
"15","Colorado","776,986","296,767","38.2","476,024","61.3",NA,NA,1964
"16","Connecticut","1,218,578","390,996","32.1","826,269","67.8",NA,NA,1964
"17","Delaware","201,320","78,078","38.8","122,704","60.9",NA,NA,1964
"18","District of Columbia","198,597","28,801","14.5","169,796","85.5",NA,NA,1964
"19","Florida","1,854,481","905,941","48.9","948,540","51.1",NA,NA,1964
"20","Georgia","1,139,335","616,584","54.1","522,556","45.9",NA,NA,1964
"21","Hawaii","207,271","44,022","21.2","163,249","78.8",NA,NA,1964
"22","Idaho","292,477","143,557","49.1","148,920","50.9",NA,NA,1964
"23","Illinois","4,702,841","1,905,946","40.5","2,796,833","59.5",NA,NA,1964
"24","Indiana","2,091,606","911,118","43.6","1,170,848","56.0",NA,NA,1964
"25","Iowa","1,184,539","449,148","37.9","733,030","61.9",NA,NA,1964
"26","Kansas","857,901","386,579","45.1","464,028","54.1",NA,NA,1964
"27","Kentucky","1,046,105","372,977","35.7","669,659","64.0",NA,NA,1964
"28","Louisiana","896,293","509,225","56.8","387,068","43.2",NA,NA,1964
"29","Maine","380,965","118,701","31.2","262,264","68.8",NA,NA,1964
"30","Maryland","1,116,457","385,495","34.5","730,912","65.5",NA,NA,1964
"31","Massachusetts","2,344,798","549,727","23.4","1,786,422","76.2",NA,NA,1964
"32","Michigan","3,203,102","1,060,152","33.1","2,136,615","66.7",NA,NA,1964
"33","Minnesota","1,554,462","559,624","36.0","991,117","63.8",NA,NA,1964
"34","Mississippi","409,146","356,528","87.1","52,618","12.9",NA,NA,1964
"35","Missouri","1,817,879","653,535","36.0","1,164,344","64.0",NA,NA,1964
"36","Montana","278,628","113,032","40.6","164,246","58.9",NA,NA,1964
"37","Nebraska","584,154","276,847","47.4","307,307","52.6",NA,NA,1964
"38","Nevada","135,433","56,094","41.4","79,339","58.6",NA,NA,1964
"39","New Hampshire","288,093","104,029","36.1","184,064","63.9",NA,NA,1964
"40","New Jersey","2,847,663","964,174","33.9","1,868,231","65.6",NA,NA,1964
"41","New Mexico","328,645","132,838","40.4","194,015","59.0",NA,NA,1964
"42","New York","7,166,275","2,243,559","31.3","4,913,102","68.6",NA,NA,1964
"43","North Carolina","1,424,983","624,844","43.8","800,139","56.2",NA,NA,1964
"44","North Dakota","258,389","108,207","41.9","149,784","58.0",NA,NA,1964
"45","Ohio","3,969,196","1,470,865","37.1","2,498,331","62.9",NA,NA,1964
"46","Oklahoma","932,499","412,665","44.3","519,834","55.7",NA,NA,1964
"47","Oregon","786,305","282,779","36.0","501,017","63.7",NA,NA,1964
"48","Pennsylvania","4,822,690","1,673,657","34.7","3,130,954","64.9",NA,NA,1964
"49","Rhode Island","390,091","74,615","19.1","315,463","80.9",NA,NA,1964
"50","South Carolina","524,779","309,048","58.9","215,723","41.1",NA,NA,1964
"51","South Dakota","293,118","130,108","44.4","163,010","55.6",NA,NA,1964
"52","Tennessee","1,143,946","508,965","44.5","634,947","55.5",NA,NA,1964
"53","Texas","2,626,811","958,566","36.5","1,663,185","63.3",NA,NA,1964
"54","Utah","401,413","181,785","45.3","219,628","54.7",NA,NA,1964
"55","Vermont","163,089","54,942","33.7","108,127","66.3",NA,NA,1964
"56","Virginia","1,042,267","481,334","46.2","558,038","53.5",NA,NA,1964
"57","Washington","1,258,556","470,366","37.4","779,881","62.0",NA,NA,1964
"58","West Virginia","792,040","253,953","32.1","538,087","67.9",NA,NA,1964
"59","Wisconsin","1,691,815","638,495","37.7","1,050,424","62.1",NA,NA,1964
"60","Wyoming","142,716","61,998","43.4","80,718","56.6",NA,NA,1964
