"","year","state","st","gov_name","term_in_office","gov_party","term_length","limit_type","lame_duck_last_term","gub_election","gov_pres_same_elect_year","gov_pres_same_party","unemployment","state_cpi","gross_state_product","change_gsp","electoral_competitiveness","citizen_ideology","state_ideology","stimson_mood","gub_dem_vote_prop","stimson_mood.1","votes_for_runnerup","votes_for_winner","total_gub_votes","winner_vote_proportion","runnerup_vote_proportion","diff_vote_proportion","mean_gub_approve","mean_gub_disapprove","Republican_Popular_Vote","Democrat_Popular_Vote","Third_Party_Popular_Vote","total_popular_votes","Republican_Popular_Vote_Proportion","Democrat_Popular_Vote_Proportion","Third_Party_Popular_Vote_Proportion","mean_pres_approve","mean_pres_disapprove","pres_party"
"1",1950,"Alabama","AL","Folsom, James E.",1,1,4,1,1,1,0,0,NA,NA,NA,NA,0.52916503,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2",1951,"Alabama","AL","Persons, Gordon",1,1,4,1,1,0,0,0,NA,NA,NA,NA,0.5283702475,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,149231,275075,NA,426120,0.35,0.646,NA,NA,NA,1
"3",1955,"Alabama","AL","Folsom, James E.",2,1,4,1,1,0,0,1,NA,NA,NA,NA,0.5563047525,NA,NA,45.9536666666667,0.73369998,45.9536666666667,NA,NA,NA,NA,NA,NA,NA,NA,195694,280844,NA,496861,0.394,0.565,NA,NA,NA,0
"4",1959,"Alabama","AL","Patterson, John M.",1,1,4,1,1,0,0,1,NA,0.081918667,NA,NA,0.5338902625,40.976767,NA,51.3164995,0.88739997,51.3164995,NA,NA,NA,NA,NA,NA,NA,NA,237981,324050,NA,570225,0.417,0.568,NA,NA,NA,0
"5",1963,"Alabama","AL","Wallace, George C.",1,1,4,1,1,0,0,0,NA,0.09618075025,1295.25,0.113381162431784,0.5143949975,23.3974,NA,58.56225,1,58.56225,NA,NA,NA,NA,NA,NA,NA,0.24,479085,NA,NA,689818,0.695,0,NA,0.321052631578947,0.517368421052632,1
"6",1967,"Alabama","AL","Wallace, Lurleen B.",1,1,4,1,1,0,0,0,NA,0.110822,1643,0.0997322623828647,0.546992,10.8613,NA,60.416,0.67150003,60.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"7",1968,"Alabama","AL","Wallace, Lurleen B. then Albert Brewer",1,1,4,1,1,0,0,0,NA,0.120643,1899,0.15581253804017,0.56813002,6.3101201,NA,58.048,0.67150003,58.048,NA,NA,NA,NA,NA,NA,NA,NA,146923,196579,691425,1049922,0.14,0.187,0.659,NA,NA,1
"8",1969,"Alabama","AL","Brewer, Albert P.",1,1,4,2,0,0,0,1,NA,0.140122,2216,0.114795737569244,0.578704505,15.0118995,NA,54.246,0.67150003,54.246,217906,637046,854952,0.7451,0.254875127492538,0.490224872507462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"9",1971,"Alabama","AL","Wallace, George C.",2,1,4,2,0,0,0,1,10.87499995,0.3119253725,13002.875,0.0536130029989001,0.582056635,27.114874875,-0.23259149725,47.916374625,1,47.916374625,312772,596888.5,917267.5,0.6974,0.291118006237083,0.406281993762917,0.404958333333333,0.570208333333333,800775,404411,NA,1223912,0.6645,0.319,NA,0.5375,0.465,0
"10",1975,"Alabama","AL","Wallace, George C.",3,1,4,2,1,0,0,1,7.050000075,0.251761995,7591,0.24412326681401,0.5338725025,24.8226995,-0.153900995666667,45.121251,0.84920001,45.121251,196963,551886,760474,0.7257,0.259000307702827,0.466699692297172,NA,NA,504070,659170,NA,1182850,0.426,0.557,NA,NA,NA,0
"11",1979,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",1,1,4,2,0,0,0,0,10.150000025,0.3658510025,17864.5,0.274788010453707,0.5723647475,27.30787525,-0.2863407525,43.181001,0.73699999,43.181001,440815,650538,1128725,0.5763,0.390542426188841,0.185757573811159,0.257833333333333,0.716833333333333,654192,636730,16481,1341929,0.488,0.474,0.012,0.418888888888889,0.581111111111111,1
"12",1987,"Alabama","AL","Hunt, Guy",1,0,4,2,0,0,0,0,7.20000005,0.516269005,23172,0.0733253238140086,0.8038267475,38.71367475,-0.3121142475,46.7974995,0.4355,46.7974995,582106,633519,1216250,0.5209,0.478607194244604,0.0422928057553957,0.564270833333333,0.379955357142857,815576,549506,NA,1378476,0.592,0.399,NA,0.53375,0.4675,0
"13",1991,"Alabama","AL","Hunt, Guy",2,0,4,2,1,0,0,0,7.25,0.57909602,22518,-0.0445057606702858,0.835385505,39.715601,-0.260184995,43.9629995,0.47889999,43.9629995,NA,NA,NA,NA,NA,NA,0.394404761904762,0.579880952380952,804283,690080,183109,1688060,0.476,0.409,0.108,0.5475,0.4225,0
"14",1993,"Alabama","AL","Hunt, Guy and then James Folsom Jr.",1,0.6931507,4,2,0,0,0,0,7.5,0.60348701,23284,0.0233375818573376,0.795156,39.017101,-0.40968701,42.784,0.47889999,42.784,NA,NA,NA,NA,NA,NA,0.385,0.501666666666667,NA,NA,NA,NA,NA,NA,NA,0.31,0.69,1
"15",1994,"Alabama","AL","Folsom, James E. Jr.",1,1,4,2,0,1,0,0,6,0.61993599,23605,0.0137862910152895,0.80840403,39.415001,-0.30274501,40.125,0.4955,40.125,594169,604926,1201969,0.5033,0.494329720650033,0.00897027934996658,0.375,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.643333333333333,1
"16",1995,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",2,0,4,2,0,0,0,1,4.9999999,0.66420451,25167.25,-0.00092382116156605,0.8689067375,35.05247575,-0.26359851,36.80850025,0.4955,36.80850025,554746,760155,1317842,0.5768,0.420950311190568,0.155849688809432,0.451818181818182,0.495555555555555,769044,662165,92149,1534349,0.501,0.432,0.06,0.374166666666667,0.620833333333333,1
"17",1999,"Alabama","AL","Siegelman, Donald",1,1,4,2,0,0,0,0,5.1500001,0.73557849,26603.25,0.055348986577052,0.81077075,36.1099995,-0.2115932525,38.92999925,0.57870001,38.92999925,669105,672225,1367053,0.4917,0.489450665043711,0.00224933495628921,0.551666666666667,0.3025,941173,692611,18323,1666272,0.565,0.416,0.011,0.47,0.48,1
"18",2003,"Alabama","AL","Riley, Bob",1,0,4,2,0,0,0,0,5.04166676666667,0.8258412625,36239.25,0.0970330535312011,0.89503625,37.1209495,-0.277698995,38.63324925,0.49880001,38.63324925,519827,718327,1250401,0.5745,0.41572823438241,0.15877176561759,0.504722222222222,0.423472222222222,1176394,693933,NA,1883449,0.625,0.368,NA,0.536547619047619,0.4325,0
"19",2007,"Alabama","AL","Riley, Bob",2,0,4,2,1,0,0,0,7.80625000000002,0.9326869975,47188.5,0.043193298386644,0.956423745,35.53522475,-0.26935025,37.48275025,0.41980001,37.48275025,625710,860472,1494273,0.5758,0.418738744526603,0.157061255473397,0.624333333333333,0.341111111111111,1266546,813479,NA,2099819,0.603,0.387,NA,0.441051541051541,0.522191142191142,0
"20",2011,"Alabama","AL","Bentley, Robert",1,0,4,2,0,0,0,0,7.89583333333334,NA,NA,NA,NA,36.4600003333333,-0.31113401,NA,NA,NA,427787,750231,1180413,0.6356,0.36240451435218,0.27319548564782,NA,NA,1255925,795696,NA,2074338,0.605,0.384,NA,NA,NA,1
"21",2015,"Alabama","AL","Bentley, Robert",2,0,4,2,1,0,0,0,5.45277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1318255,729547,44467,2123372,0.621,0.344,0.021,NA,NA,1
"22",1959,"Alaska","AK","Egan, William A.",1,1,4,2,0,0,0,1,NA,0.142234333333333,NA,NA,0.765711485,69.5708006666667,NA,49.6513326666667,0.602,49.6513326666667,NA,NA,NA,NA,NA,NA,NA,NA,30953,29809,NA,60762,0.509,0.491,NA,NA,NA,0
"23",1963,"Alaska","AK","Egan, William A.",2,1,4,2,0,0,0,0,NA,0.158467505,8601,0.102811687704351,0.8589992525,65.16639975,NA,52.929001,0.52270001,52.929001,NA,NA,NA,NA,NA,NA,NA,NA,22930,44329,NA,67259,0.341,0.659,NA,NA,NA,1
"24",1967,"Alaska","AK","Hickel, Walter J.",1,0,4,2,0,0,0,1,NA,0.180303,10515,0.0564164695065781,0.964655995,50.0345,NA,55.0310005,0.49169999,55.0310005,NA,NA,NA,NA,NA,NA,NA,NA,37600,35411,10024,83035,0.453,0.426,0.121,NA,NA,1
"25",1969,"Alaska","AK","Miller, Keith H.",1,0,4,2,0,0,0,0,NA,0.204284505,12170.5,0.0661553136992183,0.93042502,62.9191495,NA,47.8845005,0.49169999,47.8845005,37264,42309,80779,0.5238,0.461308013221258,0.0624919867787421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"26",1971,"Alaska","AK","Egan, William A.",3,1,4,2,0,0,0,1,NA,0.242024495,16465.5,0.117603372430904,0.96104674,63.4752005,NA,45.5964995,0.53170002,45.5964995,45553,45840,96163,0.4767,0.473706103178977,0.00299389682102263,NA,NA,55349,32967,NA,95219,0.581,0.346,NA,NA,NA,0
"27",1975,"Alaska","AK","Hammond, Jay S.",1,0,4,2,0,0,0,0,8.82499985,0.333243005,25735.25,0.11961245381733,0.94029075,44.5808755,NA,42.6849995,0.4984,42.6849995,49580,51674,126910,0.4072,0.39067055393586,0.01652944606414,NA,NA,71555,44058,NA,123574,0.579,0.357,NA,NA,NA,0
"28",1979,"Alaska","AK","Hammond, Jay S.",2,0,4,2,1,0,0,1,9.4749999,0.460857005,37972.25,0.0818417052183817,0.9888582525,39.09647475,NA,36.5055,0.34099999,36.5055,72291,89918,194885,0.4614,0.370941837493907,0.0904581625060933,NA,NA,86112,41842,11155,158445,0.543,0.264,0.07,NA,NA,1
"29",1983,"Alaska","AK","Sheffield, Bill",1,1,4,2,0,0,0,1,10.19999995,0.5336657325,51411.75,0.0768426793343432,0.99585548,46.82332425,NA,38.831251,0.55430001,38.831251,76515,84943,179555,0.4731,0.426136838294673,0.0469631617053271,NA,NA,138377,62007,NA,207605,0.667,0.299,NA,NA,NA,0
"30",1987,"Alaska","AK","Cowper, Steve C.",1,1,4,2,0,0,0,1,7.925000025,0.592619745,66691,0.0629879760043431,0.993236005,52.6271745,NA,41.17525,0.52609998,41.17525,60201,75721,194750,0.3888,0.309119383825417,0.0796806161745828,NA,NA,119251,72584,NA,200116,0.596,0.363,NA,NA,NA,0
"31",1991,"Alaska","AK","Hickel, Walter J.",2,0.5,4,2,0,0,0,0,8.22500015,0.676045255,82991,0.0591530364061202,0.9867554925,48.358225,NA,38.90299975,0.54140002,38.90299975,87157,87693,213435,0.4109,0.408353831377234,0.00254616862276574,0.2575,0.695,102000,78294,73481,258506,0.395,0.303,0.284,0.39,0.54,0
"32",1995,"Alaska","AK","Knowles, Tony",1,1,4,2,0,0,0,0,7.350000125,0.739632995,101058,0.0427338465511225,0.958495005,33.9071745,-0.223568,29.38550075,0.50150001,29.38550075,57740,93969,186631,0.5035,0.309380542353628,0.194119457646372,0.47,0.49,122746,80380,26333,241620,0.508,0.333,0.109,0.36,0.64,1
"33",1999,"Alaska","AK","Knowles, Tony",2,1,4,2,1,0,0,0,6.75,0.8317857525,118326.25,0.0412652915423683,0.9437547475,28.55074975,-0.200529252,32.6112505,0.72909999,32.6112505,94216,129279,231484,0.5585,0.407008691745434,0.151491308254566,NA,NA,167398,79004,28747,285560,0.586,0.277,0.101,0.44,0.54,1
"34",2003,"Alaska","AK","Murkowski, Frank H.",1,0,4,2,0,0,0,0,7.25208333333333,0.9770485025,145820,0.0622458942187624,0.8235202575,41.37344925,-0.1809415,39.24500075,0.42160001,39.24500075,97238,114697,237322,0.4833,0.409730239927188,0.0735697600728125,0.330432900432901,0.686233766233766,190889,111025,NA,312598,0.611,0.355,NA,0.47948051948052,0.487597402597402,0
"35",2007,"Alaska","AK","Palin, Sarah H.",1,0,4,2,0,0,0,0,6.93055555555555,1.12694666666667,167498,0.0158698564817527,0.849874993333333,63.716231,-0.246535,44.4446666666667,0.45879999,44.4446666666667,NA,NA,NA,NA,NA,NA,0.718847222222222,0.203513888888889,193841,123594,NA,326197,0.594,0.379,NA,0.4,0.595,0
"36",2010,"Alaska","AK","Parnell, Sean",1,0,4,2,0,1,0,0,7.28833333333333,1.14902,172567,0.034456506752828,0.92911202,55.34292375,-0.502388995,41.257,0.38940001,41.257,112477,142988,268075,0.5358,0.417755014259531,0.118044985740469,NA,NA,164676,122640,NA,300495,0.548,0.408,NA,NA,NA,1
"37",2015,"Alaska","AK","Walker, Bill",1,0.5,4,2,0,0,0,0,6.86111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163387,116454,18725,318608,0.513,0.366,0.059,NA,NA,1
"38",1950,"Arizona","AZ","Garvey, Dan",1,1,2,0,0,1,0,0,NA,NA,NA,NA,0.66740298,NA,NA,NA,0.4923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"39",1951,"Arizona","AZ","Pyle, John",1,0,2,0,0,0,0,1,NA,NA,NA,NA,0.745260505,NA,NA,NA,0.4923,NA,NA,NA,NA,NA,NA,NA,NA,NA,152042,108528,NA,260570,0.583,0.417,NA,NA,NA,1
"40",1953,"Arizona","AZ","Pyle, John",2,0,2,0,0,0,0,0,NA,NA,NA,NA,0.84306151,NA,NA,NA,0.39840001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"41",1955,"Arizona","AZ","McFarland, Ernest W.",1,1,2,0,0,0,0,1,NA,NA,NA,NA,0.780003485,NA,NA,39.544998,0.52509999,39.544998,NA,NA,NA,NA,NA,NA,NA,NA,176990,112880,NA,290173,0.61,0.389,NA,NA,NA,0
"42",1957,"Arizona","AZ","McFarland, Ernest W.",2,1,2,0,0,0,0,1,NA,NA,NA,NA,0.7126475,NA,NA,46.856501,0.59549999,46.856501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"43",1959,"Arizona","AZ","Fannin, Paul J.",1,0,2,0,0,0,0,0,NA,0.108897,NA,NA,0.796068995,38.1759,NA,51.153,0.44870001,51.153,NA,NA,NA,NA,NA,NA,NA,NA,221241,176781,NA,398491,0.555,0.444,NA,NA,NA,0
"44",1961,"Arizona","AZ","Fannin, Paul J.",2,0,2,0,0,0,0,1,NA,0.1117535,NA,NA,0.879159985,37.775049,NA,59.679001,0.40700001,59.679001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"45",1963,"Arizona","AZ","Fannin, Paul J.",3,0,2,0,0,0,0,1,NA,0.1169475,3969.5,0.094170403587444,0.878085495,41.8814485,NA,54.346001,0.4517,54.346001,NA,NA,NA,NA,NA,NA,0.6,0.35,242535,237753,NA,480770,0.504,0.495,NA,NA,NA,1
"46",1965,"Arizona","AZ","Goddard, Sam",1,1,2,0,0,0,0,0,NA,0.1265075,4657,0.0833793153110007,0.853144495,35.196001,NA,56.383499,0.53240001,56.383499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"47",1967,"Arizona","AZ","Williams, Jack",1,0,2,0,0,0,0,1,NA,0.141428,5418,0.0828446193859273,0.945774495,30.0635985,NA,57.34,0.4623,57.34,204075,279923,483998,0.5784,0.421644304315307,0.156755695684693,NA,NA,266721,170514,46573,486936,0.548,0.35,0.096,NA,NA,1
"48",1969,"Arizona","AZ","Williams, Jack",2,0,2,0,0,0,0,0,NA,0.165126505,6449.5,0.0811838234367432,0.83168751,37.8939495,NA,49.6805,0.42160001,49.6805,201887,209522,411409,0.5093,0.490720912765642,0.018579087234358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"49",1971,"Arizona","AZ","Williams, Jack",3,0,4,0,0,0,0,0,NA,0.1997420025,9171.25,0.130130046352794,0.8355337525,44.31647575,NA,45.95850075,0.49070001,45.95850075,273674,278375,552202,0.5041,0.495604869232636,0.00849513076736413,NA,NA,402812,198540,NA,622926,0.647,0.319,NA,NA,NA,0
"50",1975,"Arizona","AZ","Castro, Raul",1,1,4,0,0,0,0,1,10.9500001,0.250010495,12823,0.123336053696564,0.934175015,35.955801,-0.149313,39.087999,0.5043,39.087999,NA,NA,NA,NA,NA,NA,NA,NA,418642,295602,NA,742719,0.564,0.398,NA,NA,NA,0
"51",1977,"Arizona","AZ","Castro, Raul and then Wesley Bolin",1,1,4,0,0,0,0,0,8.1999998,0.28230399,15182,0.107851722124927,0.99482501,29.8104,-0.123762,36.994999,0.5043,36.994999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"52",1978,"Arizona","AZ","Bolin, Wesley, and then Bruce Babbitt",1,1,4,0,0,1,0,0,6.0999999,0.30987099,17477,0.151165854301146,0.97932303,25.2358,-0.126937,38.800999,0.53960001,38.800999,241093,282605,538556,0.5247,0.447665609518787,0.0770343904812127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"53",1979,"Arizona","AZ","Babbitt, Bruce",1,1,4,0,0,0,0,0,7.67499995,0.3996322525,21448.25,0.077797002382116,0.956449495,24.93230025,-0.186254251,34.80700025,0.53960001,34.80700025,235877,453795,726364,0.6247,0.324736633423463,0.299963366576537,NA,NA,529688,246843,76952,873945,0.606,0.282,0.088,NA,NA,1
"54",1983,"Arizona","AZ","Babbitt, Bruce",2,1,4,0,0,0,0,1,6.875000125,0.4768289975,28470.5,0.0702377543967624,0.962185995,37.02165075,-0.2154557475,40.98050025,0.65799999,40.98050025,298986,343913,866984,0.3967,0.344857575226302,0.0518424247736983,NA,NA,681416,333854,NA,1025897,0.664,0.325,NA,NA,NA,0
"55",1987,"Arizona","AZ","Mecham, Evan",1,0,4,0,0,0,0,0,6.1999998,0.50934398,32664,0.0605539140881197,0.92580402,38.002102,-0.102376,44.141998,0.46509999,44.141998,NA,NA,NA,NA,NA,NA,0.3225,0.5675,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"56",1988,"Arizona","AZ","Mecham, Evan and then Rose Mofford",1,0.73770493,4,0,0,0,0,0,6.3000002,0.52958202,35004,0.0716385011021308,0.91999799,37.737202,-0.144339,43.992001,0.46509999,43.992001,NA,NA,NA,NA,NA,NA,0.553333333333333,0.223333333333333,702541,454029,NA,1171873,0.6,0.387,NA,NA,NA,0
"57",1989,"Arizona","AZ","Mofford, Rose",1,1,4,0,0,0,0,1,5.25,0.56893501,37904,0.0512400577435163,0.93865451,37.939051,-0.041952001,46.8409995,0.46509999,46.8409995,519691,523984,1055406,0.4965,0.492408608630233,0.00409139136976672,0.484285714285715,0.417857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"58",1991,"Arizona","AZ","Mofford, Rose and then Fife Symington",1,0.1780822,4,0,0,1,0,0,5.6999998,0.60401201,41572,0.0747673216132367,0.97944802,35.662201,-0.103901,44.342999,0.47639999,44.342999,448168,492569,940737,0.5236,0.476400949468342,0.0471990505316576,0.38125,0.32125,NA,NA,NA,NA,NA,NA,NA,0.6825,0.275,0
"59",1992,"Arizona","AZ","Symington, Fife",1,0,3,0,0,0,0,0,5.98,0.651945602,51317.6,0.0688379807369708,0.867044416,38.4187798,-0.1470721992,39.6909996,0.47639999,39.6909996,500702,593492,1129607,0.5254,0.443253273040978,0.082146726959022,0.355876190476191,0.609416666666667,597079.5,598169,232906.5,1445690,0.414,0.415,0.159,0.371979166666667,0.600840277777778,0
"60",1997,"Arizona","AZ","Switch; Symington then Jane Hull-R",1,0,4,2,0,0,0,1,4.5999999,0.69790798,59837,0.0320994894439077,0.80190003,42.391201,-0.217898,33.879002,0.4576,33.879002,NA,NA,NA,NA,NA,NA,0.368,0.498,NA,NA,NA,NA,NA,NA,NA,0.444,0.532,1
"61",1998,"Arizona","AZ","Hull, Jane",1,0,4,2,0,1,0,1,4.65999994,0.76596019,68176,0.0433654201653939,0.84184141,42.1065192,-0.1140290022,38.0916004,0.37279999,38.0916004,458008.5,593236,1121863.5,0.5357,0.403753757413418,0.131946242586582,0.520416666666667,0.355833333333333,781652,685341,45645,1532016,0.51,0.447,0.03,0.579866666666667,0.342791666666667,1
"62",2003,"Arizona","AZ","Napolitano, Janet",1,1,4,2,0,0,0,1,4.89791661666667,0.9097277525,85765.75,0.0604713595977122,0.94875774,47.85940075,-0.12629074725,47.3062495,0.50529999,47.3062495,543528,959830,1533645,0.6258,0.354402746398286,0.271397253601714,0.595619047619048,0.301964285714286,1104294,893524,NA,2012585,0.549,0.444,NA,0.468768523143523,0.520066544566545,0
"63",2007,"Arizona","AZ","Napolitano, Janet",2,1,4,2,1,0,0,1,4.98333333333334,1.03429995,98342,0.0315008499226751,0.96432498,48.617498,-0.114277,51.6255,0.63849998,51.6255,NA,NA,NA,NA,NA,NA,0.663,0.2715,1230111,1034707,NA,2293475,0.536,0.451,NA,0.345,0.61,0
"64",2009,"Arizona","AZ","Brewer, Jan",1,0,4,2,0,0,0,1,9.52708333333333,1.050885,100680.5,0.0155572293808157,0.904943525,44.6031255,-0.125374999666667,49.6394995,0.63849998,49.6394995,733935,938934,1728081,0.5433,0.424710994449913,0.118589005550087,0.3275,0.375,1233654,1025232,NA,2299254,0.537,0.446,NA,0.51,0.4,1
"65",2013,"Arizona","AZ","Brewer, Jan",2,0,4,2,0,0,0,0,7.2625,NA,NA,NA,NA,45.444199,NA,NA,NA,NA,626921,805062,1506416,0.5344,0.41616724729424,0.11823275270576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"66",2015,"Arizona","AZ","Ducey, Doug",1,0,4,2,0,0,0,0,5.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1252401,1161167,106327,2573165,0.487,0.451,0.041,NA,NA,1
"67",1950,"Arkansas","AR","McMath, Sid",1,1,2,0,0,1,0,0,NA,NA,NA,NA,0.537450495,NA,NA,NA,0.84140003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"68",1952,"Arkansas","AR","Cherry, Francis",1,1,2,0,0,1,0,0,NA,NA,NA,NA,0.54064351,NA,NA,NA,0.87410003,NA,NA,NA,NA,NA,NA,NA,NA,NA,177155,226300,NA,404800,0.438,0.559,NA,NA,NA,1
"69",1954,"Arkansas","AR","Faubus, Orval E.",1,1,2,0,0,1,0,1,NA,0.10842,5527,0.0992442322991249,0.58751466,18.7824,NA,56.405998,0.62099999,56.405998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"70",1956,"Arkansas","AR","Faubus, Orval E.",2,1,2,0,0,1,0,1,NA,NA,NA,NA,0.57480651,NA,NA,45.488001,0.80650002,45.488001,NA,NA,NA,NA,NA,NA,NA,NA,186287,213277,NA,406572,0.458,0.525,NA,NA,NA,0
"71",1958,"Arkansas","AR","Faubus, Orval E.",3,1,2,0,0,1,0,1,NA,NA,NA,NA,0.55562198,NA,NA,54.9759995,0.8247,54.9759995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"72",1960,"Arkansas","AR","Faubus, Orval E.",4,1,2,0,0,1,0,1,NA,0.0823020005,NA,NA,0.558393985,27.3021495,NA,56.7015,0.69209999,56.7015,NA,NA,NA,NA,NA,NA,NA,NA,184508,215049,NA,428509,0.431,0.502,NA,NA,NA,0
"73",1962,"Arkansas","AR","Faubus, Orval E.",5,1,2,0,0,1,0,0,NA,0.0896994995,4482,NA,0.57027498,31.8448505,NA,56.6210005,0.73269999,56.6210005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"74",1964,"Arkansas","AR","Faubus, Orval E.",6,1,2,0,0,1,0,0,NA,0.098813001,4922.5,0.0592733075637497,0.583659025,27.8232995,NA,55.0979995,0.56999999,55.0979995,NA,NA,NA,NA,NA,NA,0.71,0.29,243264,314197,NA,560426,0.434,0.561,NA,NA,NA,1
"75",1967,"Arkansas","AR","Rockefeller, Winthrop",1,0,2,0,0,0,0,1,NA,0.1191235,6188,0.0931918923720979,0.70866451,12.7187899,NA,51.1780015,0.45640001,51.1780015,292813,322777,615590,0.5243,0.475662372683117,0.048637627316883,NA,NA,190759,188228,240982,619969,0.308,0.304,0.389,NA,NA,1
"76",1969,"Arkansas","AR","Rockefeller, Winthrop",2,0,2,0,0,0,0,0,NA,0.142223,8066,0.140070869181408,0.74950498,24.9975995,NA,50.156,0.47569999,50.156,196418,375648,608198,0.6176,0.322950749591416,0.294649250408584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"77",1971,"Arkansas","AR","Bumpers, Dale",1,1,2,0,0,0,0,1,NA,0.163554495,10470.5,0.148156211365287,0.660321,33.43025,NA,50.3899995,0.65670002,50.3899995,159177,488892,648069,0.7544,0.245617364817635,0.508782635182365,NA,NA,448541,199892,NA,651320,0.689,0.307,NA,NA,NA,0
"78",1973,"Arkansas","AR","Bumpers, Dale",2,1,2,0,0,0,0,1,NA,0.1966675,13970.5,0.138290390876146,0.58484602,31.7011005,NA,47.2469995,0.75440001,47.2469995,187872,358018,545974,0.6557,0.344104298006865,0.311595701993135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"79",1975,"Arkansas","AR","Pryor, David",1,1,2,0,0,0,0,1,5.8499999,0.234743,16127,0.0781863117868678,0.58436501,30.3015005,-0.32870099,46.004002,0.65579998,46.004002,121716,605083,726949,0.8324,0.167434029072191,0.664965970927809,NA,NA,267903,498604,NA,767535,0.349,0.65,NA,NA,NA,0
"80",1977,"Arkansas","AR","Pryor, David",2,1,2,0,0,0,0,0,6.45000005,0.27333,21444,0.17133434033108,0.580593525,32.3955005,-0.307743505,44.3840005,0.83249998,44.3840005,193746,335101,528912,0.6336,0.366310463744441,0.267289536255559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"81",1979,"Arkansas","AR","Clinton, Bill",1,1,2,0,0,0,0,0,6.89999985,0.33460249,29129.5,0.15000089015634,0.61036548,31.4235495,-0.204794495,40.792,0.6336,40.792,403241,435684,838925,0.5193,0.480663944929523,0.0386360550704771,NA,NA,403164,398041,22468,837582,0.481,0.475,0.027,NA,NA,1
"82",1981,"Arkansas","AR","White, Frank D.",1,0,2,0,0,0,0,0,8.60000015,0.399138005,35031.5,0.0792163646269777,0.698727995,40.192049,-0.0714265,40.8795015,0.48069999,40.8795015,357496,431855,789351,0.5471,0.452898647116429,0.0942013528835715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83",1983,"Arkansas","AR","Clinton, Bill",2,1,2,0,0,0,0,1,9.4999998,0.4321115,42954.5,0.13556020821435,0.69899252,38.1803515,-0.231361,42.4919985,0.54710001,42.4919985,331987,554561,886548,0.6255,0.374471545815906,0.251028454184094,NA,NA,534774,338646,NA,884406,0.605,0.383,NA,NA,NA,0
"84",1985,"Arkansas","AR","Clinton, Bill",3,1,2,0,0,0,0,1,8.6999998,0.459875,53295,0.100568772991246,0.647186995,43.4247,-0.173586505,42.8879985,0.62459999,42.8879985,248427,439882,688551,0.6389,0.3607968037226,0.2781031962774,0.603333333333333,0.274166666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
