"","st","NAME","PARTY","ELECYR","ELECTP","POS.PCT","NEG.PCT"
"131","AK","GW Bush",2,2004,2,49,"49"
"132","AK","GW Bush",2,2004,2,47,"49"
"133","AK","GW Bush",2,2004,2,47,"50"
"134","AK","GW Bush",2,2004,2,43,"54"
"135","AK","GW Bush",2,2004,2,44,"53"
"136","AK","GW Bush",2,2004,2,47,"50"
"137","AK","GW Bush",2,2004,2,43,"56"
"138","AK","GW Bush",2,2004,2,48,"48"
"139","AK","GW Bush",2,2004,2,45,"53"
"140","AK","GW Bush",2,2004,2,43,"55"
"141","AK","GW Bush",2,2004,2,42,"57"
"142","AK","GW Bush",2,2004,2,39,"61"
"143","AK","GW Bush",2,2004,2,37,"63"
"144","AZ","Bush",2,1988,1,53,"43"
"145","AZ","Bush",2,1988,1,76,"17"
"146","AZ","Bush",2,1988,1,82,"14"
"147","AZ","Bush",2,1988,1,62,"36"
"148","AZ","Clinton",1,1992,1,72,"28"
"149","AZ","Clinton",1,1992,1,63,"37"
"150","AZ","Clinton",1,1992,1,62,"38"
"151","AZ","Clinton",1,1992,1,33,"55"
"152","AZ","Clinton",1,1992,1,47,"53"
"153","AZ","Clinton",1,1992,1,32,"64"
"154","AZ","Clinton",1,1992,1,36,"64"
"155","AZ","Clinton",1,1992,1,52,"49"
"156","AZ","Clinton",1,1992,1,32,"65"
"157","AZ","Clinton",1,1992,1,36,"62"
"158","AZ","Clinton",1,1992,1,36,"64"
"159","AZ","Clinton",1,1992,1,28,"69"
"160","AZ","Clinton",1,1992,1,45,"55"
"161","AZ","Clinton",1,1992,1,32,"66"
"162","AZ","Clinton",1,1992,1,40,"55"
"163","AZ","Clinton",1,1992,1,26,"70"
"164","AZ","Clinton",1,1992,1,26,"68"
"165","AZ","Clinton",1,1992,1,31,"63"
"166","AZ","Clinton",1,1992,1,32,"66"
"167","AZ","Clinton",1,1992,1,28,"67"
"168","AZ","Clinton",1,1992,1,28,"67"
"169","AZ","Clinton",1,1992,1,28,"70"
"170","AZ","Clinton",1,1992,1,27,"70"
"171","AZ","Clinton",1,1992,1,35,"60"
"172","AZ","Clinton",1,1992,1,31,"67"
"173","AZ","Clinton",1,1992,1,37,"60"
"174","AZ","Clinton",1,1992,1,34,"63"
"175","AZ","Clinton",1,1992,1,48,"52"
"176","AZ","Clinton",1,1992,1,45,"51"
"177","AZ","Clinton",1,1996,2,46,"51"
"178","AZ","Clinton",1,1992,1,41,"56"
"179","AZ","Clinton",1,1992,1,43,"54"
"180","AZ","Clinton",1,1992,1,43,"54"
"181","AZ","Clinton",1,1996,2,49,"51"
"182","AZ","Clinton",1,1992,1,46,"51"
"183","AZ","Clinton",1,1992,1,50,"47"
"184","AZ","Clinton",1,1992,1,45,"52"
"185","AZ","Clinton",1,1992,1,43,"55"
"186","AZ","Clinton",1,1992,1,47,"48"
"187","AZ","Clinton",1,1992,1,66,"25"
"188","AZ","Clinton",1,1992,1,42,"53"
"189","AZ","Clinton",1,1992,1,46,""
"190","AZ","Clinton",1,1992,1,38,"57"
"191","AZ","Clinton",1,1992,1,43,"54"
"192","AZ","Clinton",1,1992,1,42,"55"
"193","AZ","Clinton",1,1996,2,52,"45"
"194","AZ","GW Bush",2,2000,1,86,"8"
"195","AZ","GW Bush",2,2000,1,79,"11"
"196","AZ","GW Bush",2,2000,1,79,"19"
"197","AZ","GW Bush",2,2000,1,77,"15"
"198","AZ","GW Bush",2,2000,1,79,"16"
"199","AZ","GW Bush",2,2000,1,63,"21"
"200","AZ","GW Bush",2,2000,1,66,"25"
"201","AZ","GW Bush",2,2000,1,58,"39"
"202","AZ","GW Bush",2,2000,1,57,"39"
"203","AZ","GW Bush",2,2000,1,65,"31"
"204","AZ","GW Bush",2,2000,1,69,"27"
"205","AZ","GW Bush",2,2000,1,56,"41"
"206","AZ","GW Bush",2,2000,1,38,"55"
"207","AZ","GW Bush",2,2000,1,48,"49"
"208","AZ","GW Bush",2,2000,1,51,"46"
"209","AZ","GW Bush",2,2000,1,50,"44"
"210","AZ","GW Bush",2,2000,1,47,"45"
"211","AZ","GW Bush",2,2000,1,52,"42"
"212","AZ","GW Bush",2,2000,1,65,""
"213","AZ","GW Bush",2,2000,1,50,"45"
"214","AZ","GW Bush",2,2000,1,37,"61"
"215","AZ","GW Bush",2,2000,1,46,"53"
"216","AZ","GW Bush",2,2000,1,48,"47"
"217","AZ","GW Bush",2,2000,1,40,"54"
"218","AZ","GW Bush",2,2000,1,46,"48"
"219","AZ","GW Bush",2,2000,1,50,"43"
"220","AZ","GW Bush",2,2000,1,45,"51"
"221","AZ","GW Bush",2,2000,1,52,"45"
"222","AZ","GW Bush",2,2000,1,44,"46"
"223","AZ","GW Bush",2,2000,1,60,"31"
"224","AZ","GW Bush",2,2000,1,45,"52"
"225","AZ","GW Bush",2,2000,1,48,"47"
"226","AZ","GW Bush",2,2000,1,41,"57"
"227","AZ","GW Bush",2,2000,1,37,"56"
"228","AZ","GW Bush",2,2000,1,51,"43"
"229","AZ","GW Bush",2,2000,1,52,"43"
"230","AZ","GW Bush",2,2000,1,50,"44"
"231","AZ","GW Bush",2,2000,1,44,"50"
"232","AZ","GW Bush",2,2000,1,52,"44"
"233","AZ","GW Bush",2,2000,1,47,"45"
"234","AZ","GW Bush",2,2000,1,47,"46"
"235","AZ","GW Bush",2,2000,1,48,"46"
"236","AZ","GW Bush",2,2000,1,42,"55"
"237","AZ","GW Bush",2,2000,1,51,"43"
"238","AZ","GW Bush",2,2000,1,46,"47"
"239","AZ","GW Bush",2,2000,1,46,"51"
"240","AZ","GW Bush",2,2000,1,51,"43"
"241","AZ","GW Bush",2,2000,1,51,"46"
"242","AZ","GW Bush",2,2000,1,46,"48"
"243","AZ","GW Bush",2,2000,1,47,"50"
"244","AZ","GW Bush",2,2000,1,54,"44"
"245","AZ","GW Bush",2,2000,1,52,"45"
"246","AZ","GW Bush",2,2000,1,53,"39"
"247","AZ","GW Bush",2,2000,1,51,"46"
"248","AZ","GW Bush",2,2004,2,43,"55"
"249","AZ","GW Bush",2,2004,2,44,"51"
"250","AZ","GW Bush",2,2004,2,46,"49"
"251","AZ","GW Bush",2,2004,2,43,"55"
"252","AZ","GW Bush",2,2004,2,45,"52"
"253","AZ","GW Bush",2,2004,2,44,"53"
"254","AZ","GW Bush",2,2004,2,43,"52"
"255","AZ","GW Bush",2,2004,2,40,"55"
"256","AZ","GW Bush",2,2004,2,35,"62"
"257","AZ","GW Bush",2,2004,2,40,"58"
"258","AZ","GW Bush",2,2004,2,40,"54"
"259","AZ","GW Bush",2,2004,2,48,"51"
"260","AZ","GW Bush",2,2004,2,45,"52"
"261","AZ","GW Bush",2,2004,2,45,"53"
"262","AZ","GW Bush",2,2004,2,44,"52"
"263","AZ","GW Bush",2,2004,2,43,"56"
"264","AZ","GW Bush",2,2004,2,39,"59"
"265","AZ","GW Bush",2,2004,2,39,"58"
"266","AZ","GW Bush",2,2004,2,50,"48"
"267","AZ","GW Bush",2,2004,2,43,"54"
"268","AZ","GW Bush",2,2004,2,43,"53"
"269","AZ","GW Bush",2,2004,2,42,"58"
"270","AZ","GW Bush",2,2004,2,43,"55"
"271","AZ","GW Bush",2,2004,2,40,"59"
"272","AZ","GW Bush",2,2004,2,41,"56"
"273","AZ","GW Bush",2,2004,2,34,"62"
"274","AZ","GW Bush",2,2004,2,36,"60"
"275","AZ","GW Bush",2,2004,2,34,"61"
"276","AZ","Obama",1,2008,1,53,"36"
"277","AZ","Obama",1,2008,1,49,"44"
"278","AR","Bush",2,1988,1,63,"36"
"279","AR","Clinton",1,1992,1,39,"58"
"280","AR","Clinton",1,1992,1,47,"40"
"281","AR","Clinton",1,1992,1,36,"63"
"282","AR","Clinton",1,1992,1,45,"41"
"283","AR","Clinton",1,1992,1,47,"53"
"284","AR","Clinton",1,1992,1,42,"58"
"285","AR","Clinton",1,1992,1,51,"44"
"286","AR","Clinton",1,1992,1,38,"62"
"287","AR","Clinton",1,1992,1,49,"51"
