"","year","state","st","gov_name","term_in_office","gov_party","last_term","term_length","limit_type","lame_duck_last_term","gov_pres_same_elect_year","gov_pres_same_party","winner_endorsements","winner_primary_candidates","runnerup_endorsements","runnerup_primary_candidates","unemployment","state_cpi","gross_state_product","change_gsp","total_debt_outstanding_gsp","change_total_debt_outstanding_gsp","scaled_total_debt_outstanding_gsp","change_scaled_total_debt_outstanding_gsp","electoral_competitiveness","citizen_ideology","state_ideology","stimson_mood","gub_dem_vote_prop","votes_for_runnerup","votes_for_winner","total_gub_votes","winner_vote_proportion","runnerup_vote_proportion","diff_vote_proportion","mean_gub_approve","mean_gub_disapprove","Republican_Popular_Vote","Democrat_Popular_Vote","Third_Party_Popular_Vote","total_popular_votes","Republican_Popular_Vote_Proportion","Democrat_Popular_Vote_Proportion","Third_Party_Popular_Vote_Proportion","mean_pres_approve","mean_pres_disapprove","pres_party"
"1",1959,"Alaska","AK","Egan, William A.",1,1,0,4,2,0,0,1,NA,NA,NA,NA,NA,0.142234333333333,NA,NA,NA,NA,NA,NA,0.765711485,69.5708006666667,NA,49.6513326666667,0.602,NA,NA,NA,NA,NA,NA,NA,NA,30953,29809,NA,60762,0.509,0.491,NA,NA,NA,0
"2",1963,"Alaska","AK","Egan, William A.",2,1,0,4,2,0,0,0,NA,NA,NA,NA,NA,0.158467505,8601,0.102811687704351,7.013040175,0.218455481182898,3.0513830354,0.828855862233148,0.8589992525,65.16639975,NA,52.929001,0.52270001,NA,NA,NA,NA,NA,NA,NA,NA,22930,44329,NA,67259,0.341,0.659,NA,NA,NA,1
"3",1967,"Alaska","AK","Hickel, Walter J.",1,0,0,4,2,0,0,1,NA,NA,NA,NA,NA,0.180303,10515,0.0564164695065781,9.33576535,0.051589248281629,5.0451967567,0.0717026886390023,0.964655995,50.0345,NA,55.0310005,0.49169999,NA,NA,NA,NA,NA,NA,NA,NA,37600,35411,10024,83035,0.453,0.426,0.121,NA,NA,1
"4",1969,"Alaska","AK","Miller, Keith H.",1,0,1,4,2,0,0,0,NA,NA,NA,NA,NA,0.204284505,12170.5,0.0661553136992183,9.2975702,0.00604246059386737,4.9068007639,0.00119672327620585,0.93042502,62.9191495,NA,47.8845005,0.49169999,37264,42309,80779,0.5238,0.461308013221258,0.0624919867787421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5",1971,"Alaska","AK","Egan, William A.",3,1,1,4,2,0,0,1,NA,NA,NA,NA,NA,0.242024495,16465.5,0.117603372430904,13.4453,0.109412830236465,8.79196494655,0.183135243593134,0.96104674,63.4752005,NA,45.5964995,0.53170002,45553,45840,96163,0.4767,0.473706103178977,0.00299389682102263,NA,NA,55349,32967,NA,95219,0.581,0.346,NA,NA,NA,0
"6",1975,"Alaska","AK","Hammond, Jay S.",1,0,0,4,2,0,0,0,NA,NA,NA,NA,8.82499985,0.333243005,25735.25,0.11961245381733,11.74985,-0.0254736355628739,6.93643524795,-0.0468705842955622,0.94029075,44.5808755,NA,42.6849995,0.4984,49580,51674,126910,0.4072,0.39067055393586,0.01652944606414,NA,NA,71555,44058,NA,123574,0.579,0.357,NA,NA,NA,0
"7",1979,"Alaska","AK","Hammond, Jay S.",2,0,1,4,2,1,0,1,NA,NA,NA,NA,9.4749999,0.460857005,37972.25,0.0818417052183817,12.346625,0.0857409122080769,6.88853755015,0.156469634185648,0.9888582525,39.09647475,NA,36.5055,0.34099999,72291,89918,194885,0.4614,0.370941837493907,0.0904581625060933,NA,NA,86112,41842,11155,158445,0.543,0.264,0.07,NA,NA,1
"8",1983,"Alaska","AK","Sheffield, Bill",1,1,1,4,2,0,0,1,NA,NA,NA,NA,10.19999995,0.5336657325,51411.75,0.0768426793343432,25.49127475,0.259581738759304,18.80038471275,0.349852443084344,0.99585548,46.82332425,NA,38.831251,0.55430001,76515,84943,179555,0.4731,0.426136838294673,0.0469631617053271,NA,NA,138377,62007,NA,207605,0.667,0.299,NA,NA,NA,0
"9",1987,"Alaska","AK","Cowper, Steve C.",1,1,1,4,2,0,0,1,NA,NA,NA,NA,7.925000025,0.592619745,66691,0.0629879760043431,25.4337,-0.108477390996925,18.3069566949,-0.134812847522313,0.993236005,52.6271745,NA,41.17525,0.52609998,60201,75721,194750,0.3888,0.309119383825417,0.0796806161745828,NA,NA,119251,72584,NA,200116,0.596,0.363,NA,NA,NA,0
"10",1991,"Alaska","AK","Hickel, Walter J.",2,0.5,1,4,2,0,0,0,NA,NA,NA,NA,8.22500015,0.676045255,82991,0.0591530364061202,19.91609975,-0.0847631495616627,12.6257683394,-0.12946869176044,0.9867554925,48.358225,NA,38.90299975,0.54140002,87157,87693,213435,0.4109,0.408353831377234,0.00254616862276574,0.2575,0.695,102000,78294,73481,258506,0.395,0.303,0.284,0.39,0.54,0
"11",1995,"Alaska","AK","Knowles, Tony",1,1,0,4,2,0,0,0,NA,NA,NA,NA,7.350000125,0.739632995,101058,0.0427338465511225,13.48855,0.0296966485013339,6.8181092295,0.0829969162718222,0.958495005,33.9071745,-0.223568,29.38550075,0.50150001,57740,93969,186631,0.5035,0.309380542353628,0.194119457646372,0.47,0.49,122746,80380,26333,241620,0.508,0.333,0.109,0.36,0.64,1
"12",1999,"Alaska","AK","Knowles, Tony",2,1,1,4,2,1,0,0,NA,NA,NA,NA,6.75,0.8317857525,118326.25,0.0412652915423683,16.75525,0.0320357696671607,9.9400756995,0.0433731316025603,0.9437547475,28.55074975,-0.200529252,32.6112505,0.72909999,94216,129279,231484,0.5585,0.407008691745434,0.151491308254566,NA,NA,167398,79004,28747,285560,0.586,0.277,0.101,0.44,0.54,1
"13",2003,"Alaska","AK","Murkowski, Frank H.",1,0,1,4,2,0,0,0,NA,NA,NA,NA,7.25208333333333,0.9770485025,145820,0.0622458942187624,16.402825,-0.048243779647807,9.1984353695,-0.0868770053136796,0.8235202575,41.37344925,-0.1809415,39.24500075,0.42160001,97238,114697,237322,0.4833,0.409730239927188,0.0735697600728125,0.330432900432901,0.686233766233766,190889,111025,NA,312598,0.611,0.355,NA,0.47948051948052,0.487597402597402,0
"14",2007,"Alaska","AK","Palin, Sarah H.",1,0,1,4,2,0,0,0,NA,NA,NA,NA,6.93055555555555,1.12694666666667,167498,0.0158698564817527,14.0881333333333,-0.0104811948868834,6.246964386,-0.053352052246427,0.849874993333333,63.716231,-0.246535,44.4446666666667,0.45879999,NA,NA,NA,NA,NA,NA,0.718847222222222,0.203513888888889,193841,123594,NA,326197,0.594,0.379,NA,0.4,0.595,0
"15",2010,"Alaska","AK","Parnell, Sean",1,0,1,4,2,0,0,0,NA,NA,NA,NA,7.28833333333333,1.14902,172567,0.034456506752828,12.9898,-0.0959718278492289,4.816020036,-0.22558316522469,0.92911202,55.34292375,-0.502388995,41.257,0.38940001,112477,142988,268075,0.5358,0.417755014259531,0.118044985740469,NA,NA,164676,122640,NA,300495,0.548,0.408,NA,NA,NA,1
"16",2015,"Alaska","AK","Walker, Bill",1,0.5,1,4,2,0,0,0,NA,NA,NA,NA,6.86111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163387,116454,18725,318608,0.513,0.366,0.059,NA,NA,1
"17",1950,"Alabama","AL","Folsom, James E.",1,1,0,4,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52916503,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"18",1951,"Alabama","AL","Persons, Gordon",1,1,1,4,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5283702475,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,149231,275075,NA,426120,0.35,0.646,NA,NA,NA,1
"19",1955,"Alabama","AL","Folsom, James E.",2,1,1,4,1,1,0,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5563047525,NA,NA,45.9536666666667,0.73369998,NA,NA,NA,NA,NA,NA,NA,NA,195694,280844,NA,496861,0.394,0.565,NA,NA,NA,0
"20",1959,"Alabama","AL","Patterson, John M.",1,1,1,4,1,1,0,1,0,9,NA,NA,NA,0.081918667,NA,NA,NA,NA,NA,NA,0.5338902625,40.976767,NA,51.3164995,0.88739997,NA,NA,NA,NA,NA,NA,NA,NA,237981,324050,NA,570225,0.417,0.568,NA,NA,NA,0
"21",1963,"Alabama","AL","Wallace, George C.",1,1,0,4,1,1,0,0,0,5,NA,NA,NA,0.09618075025,1295.25,0.113381162431784,4.438652525,0.0712271791113184,0.4769953854,1.2779082516543,0.5143949975,23.3974,NA,58.56225,1,NA,NA,NA,NA,NA,NA,NA,0.24,479085,NA,NA,689818,0.695,0,NA,0.321052631578947,0.517368421052632,1
"22",1967,"Alabama","AL","Wallace, Lurleen B.",1,1,1,4,1,1,0,0,1,8,NA,NA,NA,0.110822,1643,0.0997322623828647,5.5928202,0.0972338361695411,1.3184135618,0.268999977757308,0.546992,10.8613,NA,60.416,0.67150003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"23",1968,"Alabama","AL","Wallace, Lurleen B. then Albert Brewer",999,1,1,4,1,1,0,0,NA,NA,NA,NA,NA,0.120643,1899,0.15581253804017,NA,NA,NA,NA,0.56813002,6.3101201,NA,58.048,0.67150003,NA,NA,NA,NA,NA,NA,NA,NA,146923,196579,691425,1049922,0.14,0.187,0.659,NA,NA,1
"24",1969,"Alabama","AL","Brewer, Albert P.",1,1,1,4,2,0,0,1,NA,NA,NA,NA,NA,0.140122,2216,0.114795737569244,5.65217515,0.0388912933163503,1.2614057139,0.182551256133788,0.578704505,15.0118995,NA,54.246,0.67150003,217906,637046,854952,0.7451,0.254875127492538,0.490224872507462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"25",1971,"Alabama","AL","Wallace, George C.",2,1,0,4,2,0,0,1,NA,NA,NA,NA,10.87499995,0.3119253725,13002.875,0.0536130029989001,5.5102225625,0.0127190607846362,-0.16188998285,-0.324899928661005,0.582056635,27.114874875,-0.23259149725,47.916374625,1,312772,596888.5,917267.5,0.6974,0.291118006237083,0.406281993762917,0.404958333333333,0.570208333333333,800775,404411,NA,1223912,0.6645,0.319,NA,0.5375,0.465,0
"26",1975,"Alabama","AL","Wallace, George C.",3,1,1,4,2,1,0,1,NA,NA,NA,NA,7.050000075,0.251761995,7591,0.24412326681401,3.806575,-0.0753929421059839,-1.00683975205,1.07136025502369,0.5338725025,24.8226995,-0.153900995666667,45.121251,0.84920001,196963,551886,760474,0.7257,0.259000307702827,0.466699692297172,NA,NA,504070,659170,NA,1182850,0.426,0.557,NA,NA,NA,0
"27",1979,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",1,1,0,4,2,0,0,0,0,7,NA,NA,10.150000025,0.3658510025,17864.5,0.274788010453707,3.486954925,0.111592255201195,-1.97113252485,-0.0587131472057177,0.5723647475,27.30787525,-0.2863407525,43.181001,0.73699999,440815,650538,1128725,0.5763,0.390542426188841,0.185757573811159,0.257833333333333,0.716833333333333,654192,636730,16481,1341929,0.488,0.474,0.012,0.418888888888889,0.581111111111111,1
"28",1987,"Alabama","AL","Hunt, Guy",1,0,0,4,2,0,0,0,0,2,NA,NA,7.20000005,0.516269005,23172,0.0733253238140086,5.439527625,-0.0326667113051888,-1.6872156801,0.229516205742376,0.8038267475,38.71367475,-0.3121142475,46.7974995,0.4355,582106,633519,1216250,0.5209,0.478607194244604,0.0422928057553957,0.564270833333333,0.379955357142857,815576,549506,NA,1378476,0.592,0.399,NA,0.53375,0.4675,0
"29",1991,"Alabama","AL","Hunt, Guy",2,0,1,4,2,1,0,0,NA,NA,NA,NA,7.25,0.57909602,22518,-0.0445057606702858,5.31113505,-0.0429186885104802,-2.1812904932,0.270297282986732,0.835385505,39.715601,-0.260184995,43.9629995,0.47889999,NA,NA,NA,NA,NA,NA,0.394404761904762,0.579880952380952,804283,690080,183109,1688060,0.476,0.409,0.108,0.5475,0.4225,0
"30",1993,"Alabama","AL","Hunt, Guy and then James Folsom Jr.",999,0.6931507,1,4,2,0,0,0,NA,NA,NA,NA,7.5,0.60348701,23284,0.0233375818573376,NA,NA,NA,NA,0.795156,39.017101,-0.40968701,42.784,0.47889999,NA,NA,NA,NA,NA,NA,0.385,0.501666666666667,NA,NA,NA,NA,NA,NA,NA,0.31,0.69,1
"31",1994,"Alabama","AL","Folsom, James E. Jr.",1,1,1,4,2,0,0,0,NA,NA,NA,NA,6,0.61993599,23605,0.0137862910152895,4.2773499,-0.13261742237419,-2.657660476,0.150435645295343,0.80840403,39.415001,-0.30274501,40.125,0.4955,594169,604926,1201969,0.5033,0.494329720650033,0.00897027934996658,0.375,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.643333333333333,1
"32",1995,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",2,0,1,4,2,0,0,1,0,5,NA,NA,4.9999999,0.66420451,25167.25,-0.00092382116156605,3.875042575,-0.019221837105142,-2.7953981955,0.0161440766520115,0.8689067375,35.05247575,-0.26359851,36.80850025,0.4955,554746,760155,1317842,0.5768,0.420950311190568,0.155849688809432,0.451818181818182,0.495555555555555,769044,662165,92149,1534349,0.501,0.432,0.06,0.374166666666667,0.620833333333333,1
"33",1999,"Alabama","AL","Siegelman, Donald",1,1,1,4,2,0,0,0,0,4,NA,NA,5.1500001,0.73557849,26603.25,0.055348986577052,4.57753005,0.0707666429961823,-2.2376442505,-0.073212116259652,0.81077075,36.1099995,-0.2115932525,38.92999925,0.57870001,669105,672225,1367053,0.4917,0.489450665043711,0.00224933495628921,0.551666666666667,0.3025,941173,692611,18323,1666272,0.565,0.416,0.011,0.47,0.48,1
"34",2003,"Alabama","AL","Riley, Bob",1,0,0,4,2,0,0,0,1,3,NA,NA,5.04166676666667,0.8258412625,36239.25,0.0970330535312011,4.3569976,-0.0595661148971057,-2.8473920305,0.135724822674424,0.89503625,37.1209495,-0.277698995,38.63324925,0.49880001,519827,718327,1250401,0.5745,0.41572823438241,0.15877176561759,0.504722222222222,0.423472222222222,1176394,693933,NA,1883449,0.625,0.368,NA,0.536547619047619,0.4325,0
"35",2007,"Alabama","AL","Riley, Bob",2,0,1,4,2,1,0,0,NA,NA,NA,NA,7.80625000000002,0.9326869975,47188.5,0.043193298386644,4.806422475,0.0643216615580681,-3.1178992265,-0.0105797111053466,0.956423745,35.53522475,-0.26935025,37.48275025,0.41980001,625710,860472,1494273,0.5758,0.418738744526603,0.157061255473397,0.624333333333333,0.341111111111111,1266546,813479,NA,2099819,0.603,0.387,NA,0.441051541051541,0.522191142191142,0
"36",2011,"Alabama","AL","Bentley, Robert",1,0,0,4,2,0,0,0,6,5,NA,NA,7.89583333333334,NA,NA,NA,NA,NA,NA,NA,NA,36.4600003333333,-0.31113401,NA,NA,427787,750231,1180413,0.6356,0.36240451435218,0.27319548564782,NA,NA,1255925,795696,NA,2074338,0.605,0.384,NA,NA,NA,1
"37",2015,"Alabama","AL","Bentley, Robert",2,0,1,4,2,1,0,0,NA,NA,NA,NA,5.45277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1318255,729547,44467,2123372,0.621,0.344,0.021,NA,NA,1
"38",1950,"Arkansas","AR","McMath, Sid",1,1,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537450495,NA,NA,NA,0.84140003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"39",1952,"Arkansas","AR","Cherry, Francis",1,1,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54064351,NA,NA,NA,0.87410003,NA,NA,NA,NA,NA,NA,NA,NA,177155,226300,NA,404800,0.438,0.559,NA,NA,NA,1
"40",1954,"Arkansas","AR","Faubus, Orval E.",1,1,0,2,0,0,0,1,NA,NA,NA,NA,NA,0.10842,5527,0.0992442322991249,2.1759901,-0.0365928152962485,-1.8822708048,0.0906715646187599,0.58751466,18.7824,NA,56.405998,0.62099999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"41",1956,"Arkansas","AR","Faubus, Orval E.",2,1,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57480651,NA,NA,45.488001,0.80650002,NA,NA,NA,NA,NA,NA,NA,NA,186287,213277,NA,406572,0.458,0.525,NA,NA,NA,0
"42",1958,"Arkansas","AR","Faubus, Orval E.",3,1,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55562198,NA,NA,54.9759995,0.8247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"43",1960,"Arkansas","AR","Faubus, Orval E.",4,1,0,2,0,0,0,1,NA,NA,NA,NA,NA,0.0823020005,NA,NA,NA,NA,NA,NA,0.558393985,27.3021495,NA,56.7015,0.69209999,NA,NA,NA,NA,NA,NA,NA,NA,184508,215049,NA,428509,0.431,0.502,NA,NA,NA,0
"44",1962,"Arkansas","AR","Faubus, Orval E.",5,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,0.0896994995,4482,NA,2.6317599,NA,-1.2187653402,NA,0.57027498,31.8448505,NA,56.6210005,0.73269999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"45",1964,"Arkansas","AR","Faubus, Orval E.",6,1,1,2,0,0,0,0,NA,NA,NA,NA,NA,0.098813001,4922.5,0.0592733075637497,2.336635,-0.0735528384252222,-1.6322862067,0.192052380793274,0.583659025,27.8232995,NA,55.0979995,0.56999999,NA,NA,NA,NA,NA,NA,0.71,0.29,243264,314197,NA,560426,0.434,0.561,NA,NA,NA,1
"46",1967,"Arkansas","AR","Rockefeller, Winthrop",1,0,0,2,0,0,0,1,0,1,NA,NA,NA,0.1191235,6188,0.0931918923720979,2.13660005,-0.0286724391790585,-2.1539685433,0.0956679250553533,0.70866451,12.7187899,NA,51.1780015,0.45640001,292813,322777,615590,0.5243,0.475662372683117,0.048637627316883,NA,NA,190759,188228,240982,619969,0.308,0.304,0.389,NA,NA,1
"47",1969,"Arkansas","AR","Rockefeller, Winthrop",2,0,1,2,0,0,0,0,NA,NA,NA,NA,NA,0.142223,8066,0.140070869181408,1.64937495,-0.140475506809223,-2.7413944861,0.132954310222774,0.74950498,24.9975995,NA,50.156,0.47569999,196418,375648,608198,0.6176,0.322950749591416,0.294649250408584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"48",1971,"Arkansas","AR","Bumpers, Dale",1,1,0,2,0,0,0,1,NA,NA,0,7,NA,0.163554495,10470.5,0.148156211365287,1.40005505,-0.0681186021757662,-3.266261036,0.0810403001658426,0.660321,33.43025,NA,50.3899995,0.65670002,159177,488892,648069,0.7544,0.245617364817635,0.508782635182365,NA,NA,448541,199892,NA,651320,0.689,0.307,NA,NA,NA,0
"49",1973,"Arkansas","AR","Bumpers, Dale",2,1,1,2,0,0,0,1,NA,NA,NA,NA,NA,0.1966675,13970.5,0.138290390876146,1.07311,-0.105622869313605,-3.5672440209,0.0275823175733716,0.58484602,31.7011005,NA,47.2469995,0.75440001,187872,358018,545974,0.6557,0.344104298006865,0.311595701993135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"50",1975,"Arkansas","AR","Pryor, David",1,1,0,2,0,0,0,1,0,3,NA,NA,5.8499999,0.234743,16127,0.0781863117868678,0.987734995,-0.047095431249888,-3.7240360516,0.0306391702621747,0.58436501,30.3015005,-0.32870099,46.004002,0.65579998,121716,605083,726949,0.8324,0.167434029072191,0.664965970927809,NA,NA,267903,498604,NA,767535,0.349,0.65,NA,NA,NA,0
"51",1977,"Arkansas","AR","Pryor, David",2,1,1,2,0,0,0,0,NA,NA,NA,NA,6.45000005,0.27333,21444,0.17133434033108,0.965209505,0.0320589748459887,-3.9498489525,0.0306600363260783,0.580593525,32.3955005,-0.307743505,44.3840005,0.83249998,193746,335101,528912,0.6336,0.366310463744441,0.267289536255559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"52",1979,"Arkansas","AR","Clinton, Bill",1,1,0,2,0,0,0,0,0,5,NA,NA,6.89999985,0.33460249,29129.5,0.15000089015634,1.533545,0.335381717432418,-3.785047018,-0.0458145763972697,0.61036548,31.4235495,-0.204794495,40.792,0.6336,403241,435684,838925,0.5193,0.480663944929523,0.0386360550704771,NA,NA,403164,398041,22468,837582,0.481,0.475,0.027,NA,NA,1
"53",1981,"Arkansas","AR","White, Frank D.",1,0,1,2,0,0,0,0,0,2,NA,NA,8.60000015,0.399138005,35031.5,0.0792163646269777,2.20897495,0.148090663524286,-3.3886079317,-0.0317839683120469,0.698727995,40.192049,-0.0714265,40.8795015,0.48069999,357496,431855,789351,0.5471,0.452898647116429,0.0942013528835715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"54",1983,"Arkansas","AR","Clinton, Bill",2,1,0,2,0,0,0,1,0,5,NA,NA,9.4999998,0.4321115,42954.5,0.13556020821435,2.52241505,0.0259965642157828,-3.7255561803,0.0541255028972494,0.69899252,38.1803515,-0.231361,42.4919985,0.54710001,331987,554561,886548,0.6255,0.374471545815906,0.251028454184094,NA,NA,534774,338646,NA,884406,0.605,0.383,NA,NA,NA,0
"55",1985,"Arkansas","AR","Clinton, Bill",3,1,0,2,0,0,0,1,NA,NA,NA,NA,8.6999998,0.459875,53295,0.100568772991246,3.17025005,0.19637983806075,-3.9635587942,0.0458030911448158,0.647186995,43.4247,-0.173586505,42.8879985,0.62459999,248427,439882,688551,0.6389,0.3607968037226,0.2781031962774,0.603333333333333,0.274166666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"56",1987,"Arkansas","AR","Clinton, Bill",4,1,0,4,0,0,0,1,NA,NA,NA,NA,7.475000025,0.5118307625,65879.75,0.0604640032522758,4.59284995,0.0692971106337208,-2.5338933551,-0.10105249650206,0.644664495,50.65190025,-0.2681962475,44.8202495,0.63889998,295925,400386,696412,0.5749,0.424928059826654,0.149971940173346,0.581666666666667,0.38,466578,349237,NA,827738,0.564,0.422,NA,NA,NA,0
"57",1991,"Arkansas","AR","Clinton, Bill",5,1,1,4,0,0,0,1,NA,NA,NA,NA,7.25,0.573578,78020,0.0828485533104174,4.2792649,-0.0219160993451711,-3.2131606432,0.128594063134831,0.654547005,42.985899,-0.206644005,43.9704995,0.57499999,NA,NA,NA,NA,NA,NA,0.549166666666666,0.420833333333334,337324,505823,99132,950653,0.355,0.532,0.104,0.63,0.36,0
"58",1993,"Arkansas","AR","Tucker, Jim Guy Jr.",1,1,0,4,2,0,0,0,NA,NA,NA,NA,5.75,0.605654505,94837,0.102025281876382,3.77925995,-0.0956595294364358,-3.308977328,0.0310384541872678,0.66515401,41.26375,-0.221045,41.6369995,0.57499999,287904,428936,716840,0.5984,0.401629373360862,0.196770626639138,0.51,0.4475,NA,NA,NA,NA,NA,NA,NA,0.442083333333333,0.510833333333333,1
"59",1995,"Arkansas","AR","Tucker, Jim Guy Jr.",2,1,1,4,2,0,0,0,NA,NA,NA,NA,4.5,0.63095802,109906,0.0949648315300775,3.6302199,0.0300804719355543,-3.128269878,-0.0828340761271219,0.70505798,40.0728,-0.24920499,36.869999,0.5984,NA,NA,NA,NA,NA,NA,0.39,0.61,NA,NA,NA,NA,NA,NA,NA,0.38,0.62,1
"60",1996,"Arkansas","AR",NA,0,0.53825134,0,4,2,0,0,0,NA,NA,NA,NA,5.4000001,0.66488268,128972.666666667,0.082203055198949,3.77054676666667,0.0206785313975245,-2.87054433466667,-0.0357299461763171,0.78042835,42.6149,-0.246908003333333,34.0283346666667,0.5984,272923,421989,706011,0.5977,0.386570464199566,0.211129535800434,0.573333333333333,0.385555555555556,325416,475171,69884,884262,0.368,0.537,0.079,0.553333333333333,0.446666666666667,1
"61",1999,"Arkansas","AR","Huckabee, Mike",1,0,0,4,2,0,0,1,NA,NA,NA,NA,4.850000025,0.7247407575,165092.25,0.0620298517243303,3.965070075,0.0133015046823881,-2.8501042255,0.0238029887160749,0.875826,43.27925,-0.2476112525,37.2249995,0.39230001,378250,427082,805696,0.5301,0.469469874493606,0.0606301255063945,0.637916666666667,0.239166666666667,472940,422768,13421,921781,0.513,0.459,0.015,0.688,0.276666666666667,1
"62",2003,"Arkansas","AR","Huckabee, Mike",2,0,1,4,2,1,0,0,NA,NA,NA,NA,5.624999975,0.810965255,215057.75,0.0867333420573253,4.608962525,0.0459274755189431,-2.5954271055,-0.0498030349735527,0.879316255,50.34367575,-0.2618134975,37.655999,0.46970001,315040,430765,774680,0.5561,0.406671141632674,0.149428858367326,0.561420454545454,0.390227272727273,572898,469953,NA,1054945,0.543,0.445,NA,0.436428571428571,0.514107142857143,0
"63",2007,"Arkansas","AR","Beebe, Mike",1,1,0,4,2,0,0,1,0,1,NA,NA,6.70416666666667,0.912984995,255974,0.00736502629087807,4.33835505,-0.0377409219153347,-3.5859666515,0.134466912776595,0.7627182325,47.60674975,-0.25383525,34.6502505,0.5776,262784,503336,781333,0.6442,0.336327788535746,0.307872211464254,0.766666666666667,0.1,638017,422310,NA,1086617,0.587,0.389,NA,0.326666666666667,0.617777777777778,0
"64",2011,"Arkansas","AR","Beebe, Mike",2,1,1,4,2,1,0,0,NA,NA,NA,NA,7.27708333333334,NA,NA,NA,NA,NA,NA,NA,NA,29.7054003333333,-0.17370901,NA,NA,352115,470429,848592,0.5544,0.414940277542093,0.139459722457907,NA,NA,647744,394409,NA,1069468,0.606,0.369,NA,NA,NA,1
"65",2015,"Arkansas","AR","Hutchinson, Asa",1,0,1,4,2,0,0,0,NA,NA,NA,NA,4.21388888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684872,380494,29829,1130635,0.606,0.337,0.026,NA,NA,1
"66",1950,"Arizona","AZ","Garvey, Dan",1,1,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66740298,NA,NA,NA,0.4923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"67",1951,"Arizona","AZ","Pyle, John",1,0,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745260505,NA,NA,NA,0.4923,NA,NA,NA,NA,NA,NA,NA,NA,152042,108528,NA,260570,0.583,0.417,NA,NA,NA,1
"68",1953,"Arizona","AZ","Pyle, John",2,0,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84306151,NA,NA,NA,0.39840001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"69",1955,"Arizona","AZ","McFarland, Ernest W.",1,1,0,2,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780003485,NA,NA,39.544998,0.52509999,NA,NA,NA,NA,NA,NA,NA,NA,176990,112880,NA,290173,0.61,0.389,NA,NA,NA,0
"70",1957,"Arizona","AZ","McFarland, Ernest W.",2,1,1,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7126475,NA,NA,46.856501,0.59549999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
