"","year","state","st","gov_name","term_in_office","gov_party","term_length","limit_type","lame_duck_last_term","gub_election","gov_pres_same_elect_year","gov_pres_same_party","unemployment","state_cpi","gross_state_product","lagged_gsp","change_gsp","electoral_competitiveness","citizen_ideology","state_ideology","stimson_mood","gub_dem_vote_prop","votes_for_runnerup","votes_for_winner","total_gub_votes","winner_vote_proportion","runnerup_vote_proportion","diff_vote_proportion","mean_gub_approve","mean_gub_disapprove","Republican_Popular_Vote","Democrat_Popular_Vote","Third_Party_Popular_Vote","total_popular_votes","Republican_Popular_Vote_Proportion","Democrat_Popular_Vote_Proportion","Third_Party_Popular_Vote_Proportion","mean_pres_approve","mean_pres_disapprove","pres_party"
"1",1950,"Alabama","AL","Folsom, James E.",1,1,4,1,1,1,0,0,NA,NA,NA,NA,NA,0.52916503,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1951,"Alabama","AL","Persons, Gordon",1,1,4,1,1,0,0,0,NA,NA,NA,NA,NA,0.52764601,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1952,"Alabama","AL","Persons, Gordon",1,1,4,1,1,0,0,0,NA,NA,NA,NA,NA,0.52612698,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,149231,275075,NA,426120,0.35,0.646,NA,NA,NA,NA
"4",1953,"Alabama","AL","Persons, Gordon",1,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.52460802,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1954,"Alabama","AL","Persons, Gordon",1,1,4,1,1,1,0,1,NA,NA,NA,NA,NA,0.53509998,NA,NA,NA,0.73369998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1955,"Alabama","AL","Folsom, James E.",2,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.54559201,NA,NA,NA,0.73369998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1956,"Alabama","AL","Folsom, James E.",2,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.55608302,NA,NA,43.922001,0.73369998,NA,NA,NA,NA,NA,NA,NA,NA,195694,280844,NA,496861,0.394,0.565,NA,NA,NA,NA
"8",1957,"Alabama","AL","Folsom, James E.",2,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.56657499,NA,NA,43.757999,0.73369998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1958,"Alabama","AL","Folsom, James E.",2,1,4,1,1,1,0,1,NA,NA,NA,NA,NA,0.55696899,NA,NA,50.181,0.88739997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1959,"Alabama","AL","Patterson, John M.",1,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.54736298,NA,NA,50.264999,0.88739997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1960,"Alabama","AL","Patterson, John M.",1,1,4,1,1,0,0,1,NA,0.079988003,NA,NA,NA,0.53775603,41.292999,NA,49.410999,0.88739997,NA,NA,NA,NA,NA,NA,NA,NA,237981,324050,NA,570225,0.417,0.568,NA,NA,NA,NA
"12",1961,"Alabama","AL","Patterson, John M.",1,1,4,1,1,0,0,0,NA,0.081372999,NA,NA,NA,0.52815002,40.888401,NA,52.584999,0.88739997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1962,"Alabama","AL","Patterson, John M.",1,1,4,1,1,1,0,0,NA,0.084394999,NA,NA,NA,0.52229202,40.748901,NA,53.005001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1963,"Alabama","AL","Wallace, George C.",1,1,4,1,1,0,0,0,NA,0.088468,1083,NA,NA,0.516433,37.150501,NA,59.243999,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1964,"Alabama","AL","Wallace, George C.",1,1,4,1,1,0,0,0,NA,0.092789002,1230,1083,0.135734072022161,0.510575,34.972099,NA,59.987999,1,NA,NA,NA,NA,NA,NA,NA,0.24,479085,NA,NA,689818,0.695,0,NA,0.321052631578947,0.517368421052632,1
"16",1965,"Alabama","AL","Wallace, George C.",1,1,4,1,1,0,0,0,NA,0.098448999,1374,1230,0.117073170731707,0.50471699,10.8097,NA,59.623001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1966,"Alabama","AL","Wallace, George C.",1,1,4,1,1,1,0,0,NA,0.105017,1494,1374,0.0873362445414847,0.525855,10.6573,NA,55.394001,0.67150003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1967,"Alabama","AL","Wallace, Lurleen B.",1,1,4,1,1,0,0,0,NA,0.110822,1643,1494,0.0997322623828647,0.546992,10.8613,NA,60.416,0.67150003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1968,"Alabama","AL","Wallace, Lurleen B. then Albert Brewer",1,1,4,1,1,0,0,0,NA,0.120643,1899,1643,0.15581253804017,0.56813002,6.3101201,NA,58.048,0.67150003,NA,NA,NA,NA,NA,NA,NA,NA,146923,196579,691425,1049922,0.14,0.187,0.659,NA,NA,NA
"20",1969,"Alabama","AL","Brewer, Albert P.",1,1,4,2,0,0,0,1,NA,0.134224,2073,1899,0.0916271721958926,0.58926803,13.9358,NA,53.013,0.67150003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1970,"Alabama","AL","Brewer, Albert P.",1,1,4,2,0,1,0,1,NA,0.14602,2359,2073,0.137964302942595,0.56814098,16.087999,NA,55.479,1,217906,637046,854952,0.7451,0.254875127492538,0.490224872507462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1971,"Alabama","AL","Wallace, George C.",2,1,4,2,0,0,0,1,NA,0.15638299,2539,2359,0.0763035184400169,0.54701501,23.0406,NA,52.405998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1972,"Alabama","AL","Wallace, George C.",2,1,4,2,0,0,0,1,NA,0.166418,2743,2539,0.0803465931469083,0.52588803,15.8853,NA,52.785,1,NA,NA,NA,NA,NA,NA,NA,NA,728701,256923,NA,1006111,0.724,0.255,NA,NA,NA,NA
"24",1973,"Alabama","AL","Wallace, George C.",2,1,4,2,0,0,0,1,NA,0.181676,3041,2743,0.108640174990886,0.50476199,27.9011,NA,47.880001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1974,"Alabama","AL","Wallace, George C.",2,1,4,2,0,1,0,1,NA,0.20384701,3999,3041,0.315027951331799,0.51299602,21.116501,NA,46.52,0.84920001,88381,497574,598305,0.8316,0.147718972764727,0.683881027235273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1975,"Alabama","AL","Wallace, George C.",3,1,4,2,1,0,0,1,7.6999998,0.224333,6220,3999,0.555388847211803,0.521231,20.8806,NA,45.477001,0.84920001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1976,"Alabama","AL","Wallace, George C.",3,1,4,2,1,0,0,1,6.8000002,0.241015,7470,6220,0.20096463022508,0.52946502,25.3396,-0.18905599,45.657001,0.84920001,NA,NA,NA,NA,NA,NA,NA,NA,504070,659170,NA,1182850,0.426,0.557,NA,NA,NA,NA
"28",1977,"Alabama","AL","Wallace, George C.",3,1,4,2,1,0,0,0,7.4000001,0.25957799,7544,7470,0.00990629183400271,0.5377,27.849199,-0.094821997,44.457001,0.84920001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1978,"Alabama","AL","Wallace, George C.",3,1,4,2,1,1,0,0,6.3000002,0.28212199,9130,7544,0.210233297985154,0.54709399,25.221399,-0.177825,44.894001,0.73699999,196963,551886,760474,0.7257,0.259000307702827,0.466699692297172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1979,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",1,1,4,2,0,0,0,0,7.0999999,0.313972,10891,9130,0.192880613362541,0.55648702,29.835501,-0.217298,42.957001,0.73699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1980,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",1,1,4,2,0,0,0,0,8.8000002,0.352588,15282,10891,0.403176935084014,0.56588,29.2213,-0.262541,42.346001,0.73699999,NA,NA,NA,NA,NA,NA,0.295,0.68,654192,636730,16481,1341929,0.488,0.474,0.012,0.3,0.7,1
"32",1981,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",1,1,4,2,0,0,0,1,10.7,0.387227,21824,15282,0.4280853291454,0.57527399,26.8981,-0.36576,42.771,0.73699999,NA,NA,NA,NA,NA,NA,0.236,0.738,NA,NA,NA,NA,NA,NA,NA,0.566666666666667,0.433333333333333,0
"33",1982,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",1,1,4,2,0,1,0,1,14,0.40961701,23461,21824,0.0750091642228738,0.59181798,23.2766,-0.29976401,44.650002,0.59609997,440815,650538,1128725,0.5763,0.390542426188841,0.185757573811159,0.2425,0.7325,NA,NA,NA,NA,NA,NA,NA,0.39,0.61,0
"34",1983,"Alabama","AL","Wallace, George C.",2,1,4,2,0,0,0,1,13.7,0.42444,22591,23461,-0.0370828182941904,0.60836202,35.092201,-0.29877299,45.896,0.59609997,NA,NA,NA,NA,NA,NA,0.4575,0.5175,NA,NA,NA,NA,NA,NA,NA,0.43,0.575,0
"35",1984,"Alabama","AL","Wallace, George C.",2,1,4,2,0,0,0,1,11.1,0.440584,23787,22591,0.0529414368553849,0.62490702,28.214899,-0.087352999,46.535,0.59609997,NA,NA,NA,NA,NA,NA,0.4,0.585,872849,551899,NA,1441713,0.605,0.383,NA,0.54,0.46,0
"36",1985,"Alabama","AL","Wallace, George C.",2,1,4,2,0,0,0,1,8.8999996,0.45600799,26142,23787,0.0990036574599571,0.641451,27.877199,-0.179162,45.058998,0.59609997,NA,NA,NA,NA,NA,NA,0.408333333333333,0.573333333333333,NA,NA,NA,NA,NA,NA,NA,0.56,0.445,0
"37",1986,"Alabama","AL","Wallace, George C.",2,1,4,2,0,1,0,1,9.8000002,0.46604699,19181,26142,-0.266276489939561,0.69107199,37.791199,-0.365078,46.25,0.4355,537163,696203,1236230,0.5632,0.434517039709439,0.128682960290561,0.354,0.605,NA,NA,NA,NA,NA,NA,NA,0.62,0.38,0
"38",1987,"Alabama","AL","Hunt, Guy",1,0,4,2,0,0,0,0,7.8000002,0.48337999,22925,19181,0.195193159897816,0.74069297,38.516899,-0.25104699,48.419998,0.4355,NA,NA,NA,NA,NA,NA,0.6,0.318571428571429,NA,NA,NA,NA,NA,NA,NA,0.55,0.455,0
"39",1988,"Alabama","AL","Hunt, Guy",1,0,4,2,0,0,0,0,7.1999998,0.50284803,21270,22925,-0.0721919302071974,0.79031402,45.0299,-0.377226,45.798,0.4355,NA,NA,NA,NA,NA,NA,0.556666666666667,0.406666666666667,815576,549506,NA,1378476,0.592,0.399,NA,0.585,0.415,0
"40",1989,"Alabama","AL","Hunt, Guy",1,0,4,2,0,0,0,0,7,0.52672398,23453,21270,0.102632816173014,0.839935,37.4725,-0.30568701,45.803001,0.4355,NA,NA,NA,NA,NA,NA,0.576666666666667,0.393333333333333,NA,NA,NA,NA,NA,NA,NA,0.52,0.48,0
"41",1990,"Alabama","AL","Hunt, Guy",1,0,4,2,0,1,0,0,6.8000002,0.55212402,25040,23453,0.0676672493924018,0.844365,33.8354,-0.31449699,47.168999,0.47889999,582106,633519,1216250,0.5209,0.478607194244604,0.0422928057553957,0.52375,0.40125,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,0
"42",1991,"Alabama","AL","Hunt, Guy",2,0,4,2,1,0,0,0,7.1999998,0.57049203,22283,25040,-0.110103833865815,0.848795,39.809101,-0.28907299,45.801998,0.47889999,NA,NA,NA,NA,NA,NA,0.501666666666667,0.468333333333333,NA,NA,NA,NA,NA,NA,NA,0.625,0.335,0
"43",1992,"Alabama","AL","Hunt, Guy",2,0,4,2,1,0,0,0,7.3000002,0.58770001,22753,22283,0.0210923125252434,0.82197601,39.622101,-0.231297,42.124001,0.47889999,NA,NA,NA,NA,NA,NA,0.287142857142857,0.691428571428571,804283,690080,183109,1688060,0.476,0.409,0.108,0.47,0.51,0
"44",1993,"Alabama","AL","Hunt, Guy and then James Folsom Jr.",1,0.6931507,4,2,0,0,0,0,7.5,0.60348701,23284,22753,0.0233375818573376,0.795156,39.017101,-0.40968701,42.784,0.47889999,NA,NA,NA,NA,NA,NA,0.385,0.501666666666667,NA,NA,NA,NA,NA,NA,NA,0.31,0.69,1
"45",1994,"Alabama","AL","Folsom, James E. Jr.",1,1,4,2,0,1,0,0,6,0.61993599,23605,23284,0.0137862910152895,0.80840403,39.415001,-0.30274501,40.125,0.4955,594169,604926,1201969,0.5033,0.494329720650033,0.00897027934996658,0.375,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.643333333333333,1
"46",1995,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",2,0,4,2,0,0,0,1,5.6,0.63800901,25449,23605,0.0781190425757254,0.821652,33.429901,-0.30135101,36.896,0.4955,NA,NA,NA,NA,NA,NA,0.44,0.453333333333333,NA,NA,NA,NA,NA,NA,NA,0.295,0.705,1
"47",1996,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",2,0,4,2,0,0,0,1,5.0999999,0.65764803,26737,25449,0.0506110259735157,0.86615098,29.3992,-0.16840801,36.330002,0.4955,NA,NA,NA,NA,NA,NA,0.457272727272727,NA,769044,662165,92149,1534349,0.501,0.432,0.06,0.378333333333333,0.621666666666667,1
"48",1997,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",2,0,4,2,0,0,0,1,5.0999999,0.674707,25171,26737,-0.0585705202528332,0.910649,36.027901,-0.31335601,36.979,0.4955,NA,NA,NA,NA,NA,NA,0.443333333333333,0.53,NA,NA,NA,NA,NA,NA,NA,0.39,0.6,1
"49",1998,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",2,0,4,2,0,1,0,1,4.1999998,0.686454,23312,25171,-0.0738548329426721,0.87717497,41.352901,-0.27127901,37.028999,0.57870001,554746,760155,1317842,0.5768,0.420950311190568,0.155849688809432,0.466666666666667,0.503333333333333,NA,NA,NA,NA,NA,NA,NA,0.433333333333333,0.556666666666667,1
"50",1999,"Alabama","AL","Siegelman, Donald",1,1,4,2,0,0,0,0,4.8000002,0.70189601,23866,23312,0.023764584763212,0.843701,43.833599,-0.223456,36.230999,0.57870001,NA,NA,NA,NA,NA,NA,0.58,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2000,"Alabama","AL","Siegelman, Donald",1,1,4,2,0,0,0,0,4.5999999,0.72907799,25913,23866,0.0857705522500629,0.81022698,32.095699,-0.15997,39.098999,0.57870001,NA,NA,NA,NA,NA,NA,0.65,0.29,941173,692611,18323,1666272,0.565,0.416,0.011,0.47,0.48,1
"52",2001,"Alabama","AL","Siegelman, Donald",1,1,4,2,0,0,0,1,5.3000002,0.74859798,27747,25913,0.0707752865357156,0.77675301,34.731899,-0.24383201,39.326,0.57870001,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2002,"Alabama","AL","Siegelman, Donald",1,1,4,2,0,1,0,1,5.9000001,0.76274198,28887,27747,0.0410855227592173,0.81240201,33.778801,-0.219115,41.063999,0.49880001,669105,672225,1367053,0.4917,0.489450665043711,0.00224933495628921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2003,"Alabama","AL","Riley, Bob",1,0,4,2,0,0,0,0,5.8000002,0.78210002,30905,28887,0.0698584138193652,0.84805101,28.708099,-0.26306599,39.845001,0.49880001,NA,NA,NA,NA,NA,NA,0.47,0.425,NA,NA,NA,NA,NA,NA,NA,0.6325,0.345,0
"55",2004,"Alabama","AL","Riley, Bob",1,0,4,2,0,0,0,0,5.8000002,0.80846101,34408,30905,0.113347354796958,0.883699,39.143398,-0.298195,40.405998,0.49880001,NA,NA,NA,NA,NA,NA,NA,NA,1176394,693933,NA,1883449,0.625,0.368,NA,NA,NA,NA
"56",2005,"Alabama","AL","Riley, Bob",1,0,4,2,0,0,0,0,4.5,0.83999002,37824,34408,0.0992792373866542,0.919348,40.3181,-0.30915999,36.551998,0.49880001,NA,NA,NA,NA,NA,NA,0.475,0.45625,NA,NA,NA,NA,NA,NA,NA,0.507142857142857,0.45,0
"57",2006,"Alabama","AL","Riley, Bob",1,0,4,2,0,1,0,0,4.06666666666667,0.872814,41820,37824,0.105647208121827,0.92904699,40.314201,-0.240375,37.73,0.41980001,519827,718327,1250401,0.5745,0.41572823438241,0.15877176561759,0.569166666666667,0.389166666666667,NA,NA,NA,NA,NA,NA,NA,0.47,0.5025,0
"58",2007,"Alabama","AL","Riley, Bob",2,0,4,2,1,0,0,0,3.975,0.90381998,44587,41820,0.0661645145863223,0.93874598,47.255798,-0.23577701,37.654999,0.41980001,NA,NA,NA,NA,NA,NA,0.65,0.318333333333333,NA,NA,NA,NA,NA,NA,NA,0.431538461538462,0.543846153846154,0
"59",2008,"Alabama","AL","Riley, Bob",2,0,4,2,1,0,0,0,5.71666666666667,0.94166499,49186,44587,0.10314665709736,0.94844598,48.369202,-0.37038499,37.723,0.41980001,NA,NA,NA,NA,NA,NA,0.637,0.334,1266546,813479,NA,2099819,0.603,0.387,NA,0.432727272727273,0.532727272727273,0
"60",2009,"Alabama","AL","Riley, Bob",2,0,4,2,1,0,0,1,10.9916666666667,0.93798202,45861,49186,-0.0676005367380962,0.95814502,27.263,-0.26811001,36.028,0.41980001,NA,NA,NA,NA,NA,NA,0.586,0.371,NA,NA,NA,NA,NA,NA,NA,0.458888888888889,0.49,1
"61",2010,"Alabama","AL","Riley, Bob",2,0,4,2,1,1,0,0,10.5416666666667,0.947281,49120,45861,0.0710625586009899,0.980358,19.252899,-0.20312899,38.525002,0.421,625710,860472,1494273,0.5758,0.418738744526603,0.157061255473397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2011,"Alabama","AL","Bentley, Robert",1,0,4,2,0,0,0,0,9.61666666666667,NA,NA,49120,NA,NA,36.023701,-0.31113401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2012,"Alabama","AL","Bentley, Robert",1,0,4,2,0,0,0,0,7.98333333333333,NA,NA,NA,NA,NA,37.570999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255925,795696,NA,2074338,0.605,0.384,NA,NA,NA,NA
"64",2013,"Alabama","AL","Bentley, Robert",1,0,4,2,0,0,0,0,7.21666666666667,NA,NA,NA,NA,NA,35.785301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2014,"Alabama","AL","Bentley, Robert",1,0,4,2,0,1,0,0,6.76666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,427787,750231,1180413,0.6356,0.36240451435218,0.27319548564782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2015,"Alabama","AL","Bentley, Robert",2,0,4,2,1,0,0,0,6.09166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2016,"Alabama","AL","Bentley, Robert",2,0,4,2,1,0,0,0,5.85833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1318255,729547,44467,2123372,0.621,0.344,0.021,NA,NA,NA
"68",2017,"Alabama","AL","Bentley, Robert",2,0,4,2,1,0,0,0,4.40833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1959,"Alaska","AK","Egan, William A.",1,1,4,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1960,"Alaska","AK","Egan, William A.",1,1,4,2,0,0,0,1,NA,0.139432,NA,NA,NA,NA,67.424301,NA,51.653999,0.602,NA,NA,NA,NA,NA,NA,NA,NA,30953,29809,NA,60762,0.509,0.491,NA,NA,NA,NA
"71",1961,"Alaska","AK","Egan, William A.",1,1,4,2,0,0,0,0,NA,0.140683,NA,NA,NA,0.731408,70.441803,NA,47.305,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1962,"Alaska","AK","Egan, William A.",1,1,4,2,0,1,0,0,NA,0.146588,NA,NA,NA,0.80001497,70.846298,NA,49.994999,0.52270001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1963,"Alaska","AK","Egan, William A.",2,1,4,2,0,0,0,0,NA,0.14989901,7343,NA,NA,0.86862302,63.867001,NA,47.191002,0.52270001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1964,"Alaska","AK","Egan, William A.",2,1,4,2,0,0,0,0,NA,0.15622801,8220,7343,0.119433474056925,0.84709901,63.878799,NA,54.376999,0.52270001,NA,NA,NA,NA,NA,NA,NA,NA,22930,44329,NA,67259,0.341,0.659,NA,NA,NA,NA
"75",1965,"Alaska","AK","Egan, William A.",2,1,4,2,0,0,0,0,NA,0.160219,8994,8220,0.0941605839416058,0.82557499,66.173103,NA,54.429001,0.52270001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1966,"Alaska","AK","Egan, William A.",2,1,4,2,0,1,0,0,NA,0.167524,9847,8994,0.0948410051145208,0.89469999,66.746696,NA,55.719002,0.49169999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1967,"Alaska","AK","Hickel, Walter J.",1,0,4,2,0,0,0,1,NA,0.175694,10053,9847,0.0209200771808673,0.96382499,44.689098,NA,56.707001,0.49169999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1968,"Alaska","AK","Hickel, Walter J.",1,0,4,2,0,0,0,1,NA,0.184912,10977,10053,0.0919128618322889,0.965487,55.379902,NA,53.355,0.49169999,NA,NA,NA,NA,NA,NA,NA,NA,37600,35411,10024,83035,0.453,0.426,0.121,NA,NA,NA
"79",1969,"Alaska","AK","Miller, Keith H.",1,0,4,2,0,0,0,0,NA,0.19842701,11866,10977,0.0809875193586591,0.89480001,54.354,NA,47.984001,0.49169999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1970,"Alaska","AK","Miller, Keith H.",1,0,4,2,0,1,0,0,NA,0.210142,12475,11866,0.0513231080397776,0.96605003,71.484299,NA,47.785,0.53170002,37264,42309,80779,0.5238,0.461308013221258,0.0624919867787421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1971,"Alaska","AK","Egan, William A.",3,1,4,2,0,0,0,1,NA,0.22023199,13624,12475,0.0921042084168338,0.96270001,70.264297,NA,50.458,0.53170002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1972,"Alaska","AK","Egan, William A.",3,1,4,2,0,0,0,1,NA,0.22901399,15356,13624,0.127128596594245,0.962524,73.825104,NA,46.300999,0.53170002,NA,NA,NA,NA,NA,NA,NA,NA,55349,32967,NA,95219,0.581,0.346,NA,NA,NA,NA
"83",1973,"Alaska","AK","Egan, William A.",3,1,4,2,0,0,0,1,NA,0.246189,17428,15356,0.134930971607189,0.96234697,54.442501,NA,44.91,0.53170002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1974,"Alaska","AK","Egan, William A.",3,1,4,2,0,1,0,1,NA,0.272663,19454,17428,0.116249713105348,0.95661598,55.3689,NA,40.716999,0.4984,45553,45840,96163,0.4767,0.473706103178977,0.00299389682102263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1975,"Alaska","AK","Hammond, Jay S.",1,0,4,2,0,0,0,0,6.6999998,0.30236301,21346,19454,0.0972550632260718,0.950885,50.001801,NA,43.141998,0.4984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1976,"Alaska","AK","Hammond, Jay S.",1,0,4,2,0,0,0,0,8,0.31772801,24324,21346,0.139510915393985,0.93658,39.689499,NA,43.286999,0.4984,NA,NA,NA,NA,NA,NA,NA,NA,71555,44058,NA,123574,0.579,0.357,NA,NA,NA,NA
"87",1977,"Alaska","AK","Hammond, Jay S.",1,0,4,2,0,0,0,1,9.3999996,0.34402001,26725,24324,0.0987090938990298,0.92227501,44.318901,NA,42.325001,0.4984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1978,"Alaska","AK","Hammond, Jay S.",1,0,4,2,0,1,0,1,11.2,0.36886099,30546,26725,0.142974742750234,0.95142299,44.313301,NA,41.986,0.34099999,49580,51674,126910,0.4072,0.39067055393586,0.01652944606414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1979,"Alaska","AK","Hammond, Jay S.",2,0,4,2,1,0,0,1,9.1999998,0.40424901,33712,30546,0.103646958685262,0.98057199,41.833199,NA,35.953999,0.34099999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1980,"Alaska","AK","Hammond, Jay S.",2,0,4,2,1,0,0,1,9.5,0.44936201,36142,33712,0.0720811580446132,0.99641299,42.220299,NA,35.108002,0.34099999,NA,NA,NA,NA,NA,NA,NA,NA,86112,41842,11155,158445,0.543,0.264,0.07,NA,NA,NA
"91",1981,"Alaska","AK","Hammond, Jay S.",2,0,4,2,1,0,0,0,9.3000002,0.483403,40257,36142,0.113856455093797,0.98774701,34.4916,NA,36.507,0.34099999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1982,"Alaska","AK","Hammond, Jay S.",2,0,4,2,1,1,0,0,9.8999996,0.506414,41778,40257,0.0377822490498547,0.99070102,37.840801,NA,38.452999,0.55430001,72291,89918,194885,0.4614,0.370941837493907,0.0904581625060933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
