"","year","st","mean.approve","mean.disapprove"
"965",2006,"TX",0.453333333333333,0.483333333333333
"966",2006,"UT",0.77,0.172307692307692
"967",2006,"VA",0.574615384615385,0.322307692307692
"968",2006,"WA",0.457272727272727,0.473636363636364
"969",2006,"WI",0.443846153846154,0.475769230769231
"970",2006,"WV",0.749090909090909,0.204545454545455
"971",2006,"WY",0.694166666666667,0.240833333333333
"972",2007,"AK",0.831666666666667,0.0716666666666667
"973",2007,"AL",0.65,0.318333333333333
"974",2007,"AR",0.7,0.09
"975",2007,"AZ",0.616,0.298
"976",2007,"CA",0.543928571428571,0.371428571428571
"977",2007,"CO",0.66,0.18
"978",2007,"CT",0.705,0.21
"979",2007,"DE",0.465,0.37
"980",2007,"FL",0.665333333333333,0.197333333333333
"981",2007,"GA",0.557142857142857,0.341428571428571
"982",2007,"IA",0.536666666666667,0.37
"983",2007,"IL",0.32,0.61
"984",2007,"IN",0.425,0.485
"985",2007,"KS",0.665384615384615,0.297692307692308
"986",2007,"KY",0.378888888888889,0.572222222222222
"987",2007,"MA",0.499285714285714,0.385
"988",2007,"MD",0.503333333333333,0.293333333333333
"989",2007,"ME",0.516666666666667,0.406666666666667
"990",2007,"MI",0.435,0.49875
"991",2007,"MN",0.556153846153846,0.401538461538462
"992",2007,"MO",0.426153846153846,0.522307692307692
"993",2007,"MT",0.543333333333333,0.24
"994",2007,"NH",0.663333333333333,0.158888888888889
"995",2007,"NJ",0.472142857142857,0.385
"996",2007,"NM",0.669166666666667,0.305
"997",2007,"NV",0.308333333333333,0.461666666666667
"998",2007,"NY",0.478666666666667,0.395
"999",2007,"OH",0.578,0.255
"1000",2007,"OK",0.7775,0.1625
"1001",2007,"OR",0.484666666666667,0.425333333333333
"1002",2007,"PA",0.537,0.379
"1003",2007,"RI",0.515,0.4
"1004",2007,"TN",0.63,0.185
"1005",2007,"TX",0.443333333333333,0.511666666666667
"1006",2007,"UT",0.77,0.175
"1007",2007,"VA",0.568461538461538,0.34
"1008",2007,"WA",0.51,0.427857142857143
"1009",2007,"WI",0.459411764705882,0.479411764705882
"1010",2007,"WY",0.73,0.24
"1011",2008,"AK",0.746875,0.206875
"1012",2008,"AL",0.637,0.334
"1013",2008,"AR",0.82,0.06
"1014",2008,"AZ",0.71,0.245
"1015",2008,"CA",0.4155,0.521
"1016",2008,"CO",0.56,0.28
"1017",2008,"CT",0.7,0.186666666666667
"1018",2008,"DE",0.38,0.49
"1019",2008,"FL",0.586666666666667,0.300833333333333
"1020",2008,"GA",0.545,0.35
"1021",2008,"HI",0.53,0.41
"1022",2008,"IA",0.52,0.418181818181818
"1023",2008,"IL",0.235,0.695
"1024",2008,"IN",0.498571428571429,0.324285714285714
"1025",2008,"KS",0.607,0.348
"1026",2008,"KY",0.477272727272727,0.444545454545455
"1027",2008,"LA",0.68,0.215
"1028",2008,"MA",0.455,0.458333333333333
"1029",2008,"MD",0.39,0.426666666666667
"1030",2008,"ME",0.53,0.45
"1031",2008,"MI",0.415,0.488333333333333
"1032",2008,"MN",0.533636363636364,0.421818181818182
"1033",2008,"MO",0.4075,0.545
"1034",2008,"MT",0.545,NA
"1035",2008,"NC",0.46,0.34
"1036",2008,"ND",0.68,0.13
"1037",2008,"NH",0.621666666666667,0.17
"1038",2008,"NJ",0.3956,0.4972
"1039",2008,"NM",0.583636363636364,0.376363636363636
"1040",2008,"NV",0.22,0.735
"1041",2008,"NY",0.485862068965517,0.362413793103448
"1042",2008,"OH",0.547222222222222,0.339444444444444
"1043",2008,"OK",0.71,0.22
"1044",2008,"OR",0.452,0.485
"1045",2008,"PA",0.546,0.36
"1046",2008,"RI",0.4,0.57
"1047",2008,"SC",0.61,0.33
"1048",2008,"TN",0.64,0.18
"1049",2008,"UT",0.83,0.14
"1050",2008,"VA",0.551428571428571,0.361428571428571
"1051",2008,"WA",0.471333333333333,0.476
"1052",2008,"WI",0.486428571428571,0.45
"1053",2008,"WY",0.81,0.18
"1054",2009,"AK",0.578,0.332
"1055",2009,"AL",0.586,0.371
"1056",2009,"AR",0.78,0.15
"1057",2009,"AZ",0.3275,0.375
"1058",2009,"CA",0.291904761904762,0.641428571428571
"1059",2009,"CO",0.47,0.4
"1060",2009,"CT",0.72,0.218333333333333
"1061",2009,"DE",0.48,0.18
"1062",2009,"FL",0.645,0.251666666666667
"1063",2009,"GA",0.502,0.388
"1064",2009,"HI",0.56,0.38
"1065",2009,"IA",0.455384615384615,0.458461538461538
"1066",2009,"ID",0.47,0.35
"1067",2009,"IL",0.52,NA
"1068",2009,"IN",0.58,0.37
"1069",2009,"KS",0.51,0.37
"1070",2009,"KY",0.477272727272727,0.443636363636364
"1071",2009,"LA",0.605,0.345
"1072",2009,"MA",0.4125,0.50875
"1073",2009,"MD",0.48,0.37
"1074",2009,"ME",0.476666666666667,0.476666666666667
"1075",2009,"MI",0.353333333333333,0.633333333333333
"1076",2009,"MN",0.480833333333333,0.465833333333333
"1077",2009,"MO",0.553,0.34
"1078",2009,"NC",0.427272727272727,0.340909090909091
"1079",2009,"NE",0.63,0.23
"1080",2009,"NH",0.59,NA
"1081",2009,"NJ",0.361111111111111,0.54962962962963
"1082",2009,"NM",0.4725,0.47875
"1083",2009,"NV",0.174,0.614
"1084",2009,"NY",0.296785714285714,0.636785714285714
"1085",2009,"OH",0.511666666666667,0.35
"1086",2009,"OK",0.66,0.29
"1087",2009,"OR",0.388888888888889,0.517777777777778
"1088",2009,"PA",0.442,0.471
"1089",2009,"RI",0.355,0.595
"1090",2009,"SC",0.34,0.6
"1091",2009,"TN",0.54,0.21
"1092",2009,"TX",0.593333333333333,0.316666666666667
"1093",2009,"UT",0.84,0.13
"1094",2009,"VA",0.513076923076923,0.405384615384615
"1095",2009,"WA",0.382,0.572
"1096",2009,"WI",0.388461538461538,0.560769230769231
"1097",2009,"WV",0.78,0.19
"1098",NA,"AL",0.4225,NA
"1099",NA,"CO",NA,NA
"1100",NA,"GA",0.6,NA
"1101",NA,"IA",0.71,NA
"1102",NA,"KY",0.545,0.405
"1103",NA,"MD",0.56,0.3
"1104",NA,"MI",0.36,0.57
"1105",NA,"MN",0.445,0.38
"1106",NA,"MO",0.47,0.53
"1107",NA,"NC",0.52,NA
"1108",NA,"ND",0.41,0.51
"1109",NA,"NE",0.45,NA
"1110",NA,"NV",0.56,0.41
"1111",NA,"OH",0.64,0.17
"1112",NA,"PA",0.53,0.19
"1113",NA,"RI",0.86,0.09
"1114",NA,"VA",0.573333333333333,NA
"1115",NA,"WV",0.35,0.64
